"Time"	"1 highgain"	"SEM"
-0.005000	-0.165795	0.0102184
-0.004950	-0.165603	0.0101915
-0.004900	-0.164583	0.0101367
-0.004850	-0.164401	0.0101424
-0.004800	-0.165472	0.0102054
-0.004750	-0.165765	0.0103503
-0.004700	-0.166078	0.0102875
-0.004650	-0.167311	0.010306
-0.004600	-0.165917	0.0104028
-0.004550	-0.166543	0.0105587
-0.004500	-0.166513	0.0104833
-0.004450	-0.166472	0.0105111
-0.004400	-0.16625	0.010508
-0.004350	-0.165078	0.0105463
-0.004300	-0.166321	0.0105599
-0.004250	-0.167998	0.0106031
-0.004200	-0.167261	0.0104275
-0.004150	-0.165462	0.0104896
-0.004100	-0.165068	0.0105019
-0.004050	-0.164755	0.0105167
-0.004000	-0.163178	0.0104602
-0.003950	-0.164179	0.0104574
-0.003900	-0.162956	0.0104299
-0.003850	-0.163784	0.0104277
-0.003800	-0.16236	0.0105144
-0.003750	-0.163107	0.0106642
-0.003700	-0.163916	0.0105899
-0.003650	-0.164441	0.0107175
-0.003600	-0.164209	0.0107134
-0.003550	-0.163704	0.0107819
-0.003500	-0.163673	0.0107886
-0.003450	-0.163916	0.0107885
-0.003400	-0.164653	0.0108921
-0.003350	-0.163421	0.0108428
-0.003300	-0.163259	0.0108793
-0.003250	-0.163865	0.0108389
-0.003200	-0.164451	0.0109098
-0.003150	-0.164451	0.0109655
-0.003100	-0.16428	0.0109056
-0.003050	-0.163774	0.0109649
-0.003000	-0.162511	0.0108994
-0.002950	-0.161511	0.010979
-0.002900	-0.161197	0.0110778
-0.002850	-0.161107	0.0110799
-0.002800	-0.160581	0.0109914
-0.002750	-0.160086	0.0109076
-0.002700	-0.160359	0.0108966
-0.002650	-0.160571	0.0109091
-0.002600	-0.162956	0.0108457
-0.002550	-0.162319	0.0108166
-0.002500	-0.162764	0.0110471
-0.002450	-0.161046	0.011167
-0.002400	-0.16142	0.0111714
-0.002350	-0.160308	0.0111027
-0.002300	-0.158833	0.0110296
-0.002250	-0.158671	0.0112694
-0.002200	-0.159035	0.011196
-0.002150	-0.15952	0.0110915
-0.002100	-0.159965	0.0110956
-0.002050	-0.159712	0.0112718
-0.002000	-0.160621	0.0112433
-0.001950	-0.159742	0.011066
-0.001900	-0.159732	0.0110917
-0.001850	-0.158358	0.011065
-0.001800	-0.157883	0.0110456
-0.001750	-0.1576	0.0110052
-0.001700	-0.158004	0.011138
-0.001650	-0.159571	0.0111857
-0.001600	-0.160268	0.0111411
-0.001550	-0.1605	0.0111964
-0.001500	-0.159712	0.0111127
-0.001450	-0.160601	0.0110281
-0.001400	-0.161662	0.0110759
-0.001350	-0.160005	0.0109903
-0.001300	-0.158853	0.0111072
-0.001250	-0.158408	0.0111104
-0.001200	-0.157479	0.0111473
-0.001150	-0.157812	0.011132
-0.001100	-0.157873	0.0112122
-0.001050	-0.157984	0.0112504
-0.001000	-0.159288	0.0111335
-0.000950	-0.159217	0.0112152
-0.000900	-0.161319	0.0112813
-0.000850	-0.159904	0.0112605
-0.000800	-0.159257	0.0113413
-0.000750	-0.159581	0.0112649
-0.000700	-0.161218	0.0110602
-0.000650	-0.160308	0.0111247
-0.000600	-0.1605	0.0112746
-0.000550	-0.160632	0.011321
-0.000500	-0.159955	0.0113975
-0.000450	-0.158176	0.0114935
-0.000400	-0.15762	0.0114124
-0.000350	-0.15858	0.0112778
-0.000300	-0.158055	0.0113497
-0.000250	-0.159328	0.0112772
-0.000200	-0.157984	0.0113613
-0.000150	-0.15755	0.0114095
-0.000100	-0.156135	0.0114229
-0.000050	-0.155124	0.0113803
0.000000	-0.157014	0.0114298
0.000050	-0.156812	0.0114079
0.000100	-0.158378	0.011371
0.000150	-0.156357	0.0113882
0.000200	-0.15566	0.0113736
0.000250	-0.156377	0.0114443
0.000300	-0.156438	0.0114578
0.000350	-0.155488	0.0116437
0.000400	-0.155852	0.0116371
0.000450	-0.154215	0.0115684
0.000500	-0.154407	0.0116185
0.000550	-0.154993	0.0115074
0.000600	-0.156418	0.0115968
0.000650	-0.155892	0.0115454
0.000700	-0.155023	0.0115415
0.000750	-0.155246	0.0115778
0.000800	-0.155074	0.0117421
0.000850	-0.155377	0.0117443
0.000900	-0.154781	0.011734
0.000950	-0.155609	0.0118074
0.001000	-0.154195	0.0118326
0.001050	-0.155367	0.0118811
0.001100	-0.154528	0.0118413
0.001150	-0.0763647	0.0784663
0.001200	-0.089946	0.0649604
0.001250	-0.123061	0.0321911
0.001300	-0.141078	0.0167984
0.001350	-0.148657	0.012496
0.001400	-0.152315	0.0116837
0.001450	-0.154104	0.0116453
0.001500	-0.154417	0.011678
0.001550	-0.154649	0.0116572
0.001600	-0.155559	0.0116212
0.001650	-0.156943	0.0117647
0.001700	-0.157428	0.011741
0.001750	-0.156963	0.0118449
0.001800	-0.156185	0.0118541
0.001850	-0.155619	0.0119431
0.001900	-0.155488	0.0119876
0.001950	-0.155983	0.0118736
0.002000	-0.156145	0.0118035
0.002050	-0.154599	0.0118024
0.002100	-0.154599	0.0119463
0.002150	-0.155185	0.0121117
0.002200	-0.154771	0.0121987
0.002250	-0.153993	0.0120949
0.002300	-0.154063	0.0121248
0.002350	-0.155094	0.0120768
0.002400	-0.154316	0.0119231
0.002450	-0.154255	0.0119098
0.002500	-0.152962	0.012009
0.002550	-0.152487	0.0121398
0.002600	-0.153841	0.0121677
0.002650	-0.152022	0.0120961
0.002700	-0.15187	0.0119861
0.002750	-0.151062	0.0119144
0.002800	-0.151638	0.0118632
0.002850	-0.149971	0.0119947
0.002900	-0.14896	0.0120933
0.002950	-0.149021	0.012147
0.003000	-0.150496	0.0122339
0.003050	-0.151385	0.0121744
0.003100	-0.151729	0.0122542
0.003150	-0.151042	0.0122573
0.003200	-0.15085	0.0123278
0.003250	-0.152709	0.0121902
0.003300	-0.155114	0.0121489
0.003350	-0.156276	0.012109
0.003400	-0.153134	0.0122908
0.003450	-0.152588	0.0124616
0.003500	-0.152739	0.0123904
0.003550	-0.153194	0.0124135
0.003600	-0.152739	0.01255
0.003650	-0.15371	0.012527
0.003700	-0.154781	0.0125814
0.003750	-0.155801	0.0125851
0.003800	-0.156094	0.0124385
0.003850	-0.15379	0.0123831
0.003900	-0.153245	0.0124738
0.003950	-0.152507	0.0125015
0.004000	-0.152911	0.0124713
0.004050	-0.154306	0.0123956
0.004100	-0.15473	0.0124242
0.004150	-0.155458	0.0124886
0.004200	-0.15469	0.0124627
0.004250	-0.154255	0.0125644
0.004300	-0.152457	0.0126301
0.004350	-0.152578	0.0127092
0.004400	-0.151881	0.0127833
0.004450	-0.151941	0.0126645
0.004500	-0.152436	0.0125353
0.004550	-0.153487	0.0124761
0.004600	-0.154781	0.0125342
0.004650	-0.153497	0.0124943
0.004700	-0.152275	0.012613
0.004750	-0.152649	0.0126557
0.004800	-0.153922	0.0127611
0.004850	-0.152345	0.012879
0.004900	-0.15181	0.0127586
0.004950	-0.152568	0.0127303
0.005000	-0.151203	0.0127581
0.005050	-0.151769	0.0127388
0.005100	-0.152123	0.0126213
0.005150	-0.152487	0.0125063
0.005200	-0.152568	0.0125364
0.005250	-0.151052	0.0126298
0.005300	-0.324143	0.0219985
0.005350	-1.18591	0.0155453
0.005400	-1.24345	0.0124982
0.005450	-1.32815	0.012666
0.005500	-1.36063	0.0171691
0.005550	-0.572023	0.0203075
0.005600	-0.457653	0.0129946
0.005650	-0.418475	0.013155
0.005700	-0.345566	0.0131285
0.005750	-0.292181	0.0129553
0.005800	-0.262178	0.0129469
