"Time"	"1 highgain"	"SEM"
-0.005000	-0.164786	0.0101226
-0.004950	-0.164101	0.010154
-0.004900	-0.163494	0.0102203
-0.004850	-0.162428	0.0102745
-0.004800	-0.16424	0.0102225
-0.004750	-0.166026	0.0102173
-0.004700	-0.165809	0.010113
-0.004650	-0.165957	0.0102252
-0.004600	-0.165879	0.0104481
-0.004550	-0.165913	0.0104593
-0.004500	-0.166962	0.0103852
-0.004450	-0.167032	0.0104115
-0.004400	-0.167899	0.0104881
-0.004350	-0.167838	0.0104859
-0.004300	-0.166997	0.0104074
-0.004250	-0.167023	0.0104119
-0.004200	-0.166407	0.0104385
-0.004150	-0.165116	0.0104146
-0.004100	-0.165549	0.010383
-0.004050	-0.166121	0.0104253
-0.004000	-0.165775	0.0105239
-0.003950	-0.166434	0.0106471
-0.003900	-0.164674	0.0106699
-0.003850	-0.162992	0.0105817
-0.003800	-0.162957	0.0105046
-0.003750	-0.164171	0.0105628
-0.003700	-0.163989	0.0105683
-0.003650	-0.163876	0.0106222
-0.003600	-0.164015	0.0106458
-0.003550	-0.164318	0.0106459
-0.003500	-0.162706	0.0105722
-0.003450	-0.163269	0.0106554
-0.003400	-0.164674	0.0107001
-0.003350	-0.16672	0.0106924
-0.003300	-0.166988	0.0106514
-0.003250	-0.166711	0.0105623
-0.003200	-0.166312	0.0104826
-0.003150	-0.166147	0.0104089
-0.003100	-0.165913	0.0104436
-0.003050	-0.165515	0.010521
-0.003000	-0.163789	0.0105713
-0.002950	-0.163737	0.0106096
-0.002900	-0.1647	0.0106138
-0.002850	-0.164717	0.0107197
-0.002800	-0.163373	0.0106525
-0.002750	-0.161336	0.0107449
-0.002700	-0.160425	0.0107581
-0.002650	-0.162151	0.0107831
-0.002600	-0.1617	0.0108242
-0.002550	-0.16261	0.0108026
-0.002500	-0.161986	0.0108329
-0.002450	-0.161761	0.0108205
-0.002400	-0.161535	0.0109248
-0.002350	-0.162662	0.010854
-0.002300	-0.163347	0.0108645
