"Time"	"1 highgain"	"SEM"
-0.005000	-0.155325	0.013989
-0.004950	-0.154953	0.0140945
-0.004900	-0.154181	0.0140023
-0.004850	-0.154266	0.0141493
-0.004800	-0.154991	0.0141102
-0.004750	-0.153008	0.0139778
-0.004700	-0.152578	0.0138705
-0.004650	-0.154648	0.0140154
-0.004600	-0.154343	0.0141702
-0.004550	-0.154305	0.0141054
-0.004500	-0.152159	0.0140785
-0.004450	-0.151558	0.014137
-0.004400	-0.153303	0.0142098
-0.004350	-0.153589	0.0141714
-0.004300	-0.152636	0.0141463
-0.004250	-0.153437	0.0141559
-0.004200	-0.15358	0.0141463
-0.004150	-0.154123	0.0141786
-0.004100	-0.154562	0.0141619
-0.004050	-0.153971	0.0141572
-0.004000	-0.153494	0.0141652
-0.003950	-0.154228	0.014152
-0.003900	-0.153923	0.0141558
-0.003850	-0.154057	0.0141991
-0.003800	-0.154467	0.014329
-0.003750	-0.155048	0.0143377
-0.003700	-0.153418	0.0143846
-0.003650	-0.153217	0.0144011
-0.003600	-0.154333	0.0143239
-0.003550	-0.152378	0.0142758
-0.003500	-0.152807	0.0141612
-0.003450	-0.152645	0.0141979
-0.003400	-0.153761	0.0142095
-0.003350	-0.154257	0.0141834
-0.003300	-0.154667	0.0141632
-0.003250	-0.153847	0.0142387
-0.003200	-0.153675	0.0141937
-0.003150	-0.154839	0.0142189
-0.003100	-0.155811	0.0141886
-0.003050	-0.155363	0.0142381
-0.003000	-0.155106	0.0142433
-0.002950	-0.15624	0.0144231
-0.002900	-0.156326	0.0144831
-0.002850	-0.156679	0.0144477
-0.002800	-0.155916	0.0143658
-0.002750	-0.156403	0.0144134
-0.002700	-0.156851	0.0144688
-0.002650	-0.155573	0.0145334
-0.002600	-0.154562	0.0143808
-0.002550	-0.155792	0.0143342
-0.002500	-0.157089	0.0142571
-0.002450	-0.156345	0.0142555
-0.002400	-0.155258	0.0143009
-0.002350	-0.156403	0.0144594
-0.002300	-0.15625	0.0143999
-0.002250	-0.155268	0.0143912
-0.002200	-0.155602	0.0143345
-0.002150	-0.155935	0.0144466
-0.002100	-0.154686	0.0144257
-0.002050	-0.153675	0.014427
-0.002000	-0.154724	0.0143752
-0.001950	-0.154419	0.014379
-0.001900	-0.152826	0.0143282
-0.001850	-0.152969	0.0143018
-0.001800	-0.151567	0.0143147
-0.001750	-0.151615	0.0144343
-0.001700	-0.150585	0.0144746
-0.001650	-0.152187	0.0145891
-0.001600	-0.152311	0.0144861
-0.001550	-0.15233	0.0143795
-0.001500	-0.15234	0.0144228
-0.001450	-0.153933	0.0143583
-0.001400	-0.155039	0.0143332
-0.001350	-0.154476	0.0142306
-0.001300	-0.15419	0.0143196
-0.001250	-0.153131	0.014284
-0.001200	-0.151825	0.0142585
-0.001150	-0.15233	0.0141826
-0.001100	-0.153532	0.0141983
-0.001050	-0.153236	0.0141941
-0.001000	-0.153246	0.0142284
-0.000950	-0.152578	0.014257
-0.000900	-0.153284	0.0142428
-0.000850	-0.152369	0.0143967
-0.000800	-0.152845	0.0143697
-0.000750	-0.153322	0.0142272
-0.000700	-0.152016	0.0142804
-0.000650	-0.151052	0.0141936
-0.000600	-0.151749	0.0142297
-0.000550	-0.153952	0.0142344
-0.000500	-0.153484	0.0142704
-0.000450	-0.151711	0.0141779
-0.000400	-0.152025	0.0141667
-0.000350	-0.152531	0.014142
-0.000300	-0.15336	0.0141042
-0.000250	-0.154295	0.0140959
-0.000200	-0.153999	0.0141305
-0.000150	-0.154181	0.0140764
-0.000100	-0.155048	0.0138978
-0.000050	-0.153646	0.0139919
0.000000	-0.154867	0.0140612
0.000050	-0.155554	0.0141058
0.000100	-0.155449	0.0140315
0.000150	-0.156698	0.0139083
0.000200	-0.156813	0.0139437
0.000250	-0.156088	0.0140508
0.000300	-0.155239	0.014073
0.000350	-0.15399	0.0139737
0.000400	-0.153809	0.0141662
0.000450	-0.153751	0.0139369
0.000500	-0.155439	0.0138251
0.000550	-0.1544	0.0138875
0.000600	-0.155516	0.0139672
0.000650	-0.156469	0.0139944
0.000700	-0.156107	0.0140014
0.000750	-0.156574	0.0140498
0.000800	-0.155716	0.0138855
0.000850	-0.156717	0.0138953
0.000900	-0.155926	0.0139298
0.000950	-0.156994	0.0138201
0.001000	-0.156918	0.0137971
0.001050	-0.156517	0.0137933
0.001100	-0.156107	0.013819
0.001150	-0.156555	0.0137843
0.001200	-0.156498	0.0137647
0.001250	-0.156412	0.0137604
0.001300	-0.157957	0.0136842
0.001350	-0.15873	0.0136285
0.001400	-0.157204	0.013604
0.001450	-0.157938	0.0136761
0.001500	-0.157557	0.0136176
0.001550	-0.155983	0.0135304
0.001600	-0.158691	0.01356
0.001650	-0.158539	0.013509
0.001700	-0.159216	0.0134415
0.001750	-0.158615	0.0134188
0.001800	-0.157461	0.0133593
0.001850	-0.157928	0.0133925
0.001900	-0.158262	0.0134535
0.001950	-0.158129	0.0134367
0.002000	-0.158606	0.0133844
0.002050	-0.159683	0.0133138
0.002100	-0.160122	0.0133818
0.002150	-0.160341	0.0133491
0.002200	-0.160637	0.0133135
0.002250	-0.159311	0.0133782
0.002300	-0.159531	0.0133013
0.002350	-0.159903	0.0133159
0.002400	-0.160837	0.0132759
0.002450	-0.160093	0.0131957
0.002500	-0.160389	0.0131471
0.002550	-0.15933	0.0132204
0.002600	-0.160942	0.0131939
0.002650	-0.160818	0.0130752
0.002700	-0.160408	0.0129764
0.002750	-0.159712	0.0129222
0.002800	-0.158949	0.0129689
0.002850	-0.158463	0.0130711
0.002900	-0.159044	0.0130597
0.002950	-0.158415	0.0130039
0.003000	-0.156918	0.0128759
0.003050	-0.156736	0.0129102
0.003100	-0.158892	0.012972
0.003150	-0.157967	0.0130493
0.003200	-0.157881	0.0130404
0.003250	-0.15769	0.01289
0.003300	-0.158567	0.0128896
0.003350	-0.157356	0.013012
0.003400	-0.157442	0.013072
0.003450	-0.160608	0.0130052
0.003500	-0.160151	0.0129926
0.003550	-0.159588	0.0130709
0.003600	-0.159416	0.0130064
0.003650	-0.158186	0.0130154
0.003700	-0.158672	0.0129681
0.003750	-0.158186	0.012862
0.003800	-0.157776	0.0128708
0.003850	-0.158501	0.0129477
0.003900	-0.158443	0.0127982
0.003950	-0.159273	0.0128057
0.004000	-0.159044	0.0128485
0.004050	-0.159349	0.0129275
0.004100	-0.158834	0.0129328
0.004150	-0.158978	0.0128454
0.004200	-0.160885	0.0127832
0.004250	-0.160894	0.012792
0.004300	-0.159864	0.0126592
0.004350	-0.160933	0.0126363
0.004400	-0.161543	0.0124698
0.004450	-0.162687	0.012486
0.004500	-0.161266	0.0127256
0.004550	-0.163069	0.0126591
0.004600	-0.163336	0.0126114
0.004650	-0.163202	0.012591
0.004700	-0.162268	0.0126455
0.004750	-0.162497	0.0125666
0.004800	-0.16243	0.0124988
0.004850	-0.163126	0.0123448
0.004900	-0.162582	0.0123378
0.004950	-0.163889	0.0123062
0.005000	-0.163403	0.0122004
0.005050	-0.16283	0.0122442
0.005100	-0.16407	0.0122009
0.005150	-0.165119	0.0122586
0.005200	-0.165396	0.0121861
0.005250	-0.164204	0.012192
0.005300	-0.163212	0.0122454
0.005350	-0.398903	0.0266176
0.005400	-1.19854	0.0129206
0.005450	-1.23758	0.0121288
0.005500	-1.3153	0.0122175
0.005550	-1.29809	0.0166895
0.005600	-0.509501	0.0165945
0.005650	-0.437698	0.012083
0.005700	-0.402994	0.0123122
0.005750	-0.340786	0.0121908
0.005800	-0.297155	0.0120363
0.005850	-0.270834	0.0119713
0.005900	-0.255823	0.0119078
0.005950	-0.245819	0.0119163
0.006000	-0.237684	0.0118547
0.006050	-0.23366	0.0118974
0.006100	-0.229025	0.01188
0.006150	-0.226765	0.0118183
0.006200	-0.221243	0.0116984
0.006250	-0.217428	0.0116754
0.006300	-0.214872	0.0117289
0.006350	-0.214949	0.0116538
0.006400	-0.210733	0.0116695
0.006450	-0.208845	0.0116116
0.006500	-0.206738	0.0117211
0.006550	-0.204248	0.0117457
0.006600	-0.201254	0.0116969
0.006650	-0.197706	0.0117367
0.006700	-0.191402	0.0115452
0.006750	-0.186663	0.0115503
0.006800	-0.183096	0.0116024
0.006850	-0.181351	0.0117206
0.006900	-0.179834	0.0117374
0.006950	-0.179157	0.0116154
0.007000	-0.179758	0.0116395
0.007050	-0.18343	0.0116038
0.007100	-0.188179	0.01163
0.007150	-0.191851	0.0116101
0.007200	-0.193176	0.0115895
0.007250	-0.193033	0.0114981
0.007300	-0.192003	0.0114977
0.007350	-0.19001	0.0114053
0.007400	-0.187111	0.0114175
0.007450	-0.183964	0.0115263
0.007500	-0.191946	0.0114814
0.007550	-0.196676	0.0113998
0.007600	-0.195217	0.0113894
0.007650	-0.190544	0.0114157
0.007700	-0.188627	0.0114149
0.007750	-0.186872	0.0113831
0.007800	-0.185137	0.0115148
0.007850	-0.186872	0.0115111
0.007900	-0.188322	0.0115585
0.007950	-0.188255	0.0115412
0.008000	-0.188274	0.0114523
0.008050	-0.186977	0.0114279
0.008100	-0.183935	0.0114156
0.008150	-0.181627	0.0113528
0.008200	-0.183916	0.0114064
0.008250	-0.189505	0.0113653
0.008300	-0.194798	0.0112846
