"Time"	"1 highgain"	"SEM"
-0.005000	-0.177591	0.0116883
-0.004950	-0.179474	0.0117586
-0.004900	-0.178876	0.0116779
-0.004850	-0.17988	0.0116881
-0.004800	-0.178634	0.0116057
-0.004750	-0.179329	0.0116143
-0.004700	-0.177379	0.0117138
-0.004650	-0.177205	0.011829
-0.004600	-0.175833	0.0118477
-0.004550	-0.175698	0.011812
-0.004500	-0.175022	0.011814
-0.004450	-0.176142	0.011781
-0.004400	-0.177398	0.0116076
-0.004350	-0.177108	0.0116328
-0.004300	-0.17734	0.011659
-0.004250	-0.179049	0.0115502
-0.004200	-0.177871	0.011637
-0.004150	-0.178277	0.0117689
-0.004100	-0.178982	0.0118328
-0.004050	-0.178412	0.0117501
-0.004000	-0.180237	0.0116758
-0.003950	-0.179426	0.0117509
-0.003900	-0.179271	0.0117388
-0.003850	-0.179426	0.0117896
-0.003800	-0.180266	0.0118198
-0.003750	-0.179291	0.0117444
-0.003700	-0.18072	0.0117057
-0.003650	-0.178991	0.0118024
-0.003600	-0.180112	0.0116065
-0.003550	-0.180575	0.0115914
-0.003500	-0.18071	0.0115813
-0.003450	-0.180797	0.011593
-0.003400	-0.180382	0.011582
-0.003350	-0.179725	0.0117067
-0.003300	-0.181164	0.0117261
-0.003250	-0.179851	0.0115781
-0.003200	-0.179996	0.0116764
-0.003150	-0.181618	0.0116825
-0.003100	-0.181184	0.0116798
-0.003050	-0.180884	0.0117085
-0.003000	-0.180295	0.0115745
-0.002950	-0.182188	0.0116391
-0.002900	-0.181802	0.0116979
-0.002850	-0.181657	0.0115376
-0.002800	-0.1813	0.0115705
-0.002750	-0.18242	0.011528
-0.002700	-0.18269	0.0115126
-0.002650	-0.182507	0.0116219
-0.002600	-0.18242	0.0117047
-0.002550	-0.181473	0.0117031
-0.002500	-0.181309	0.0116687
-0.002450	-0.180305	0.0116376
-0.002400	-0.18214	0.0116009
-0.002350	-0.182449	0.0115831
-0.002300	-0.182372	0.0116027
-0.002250	-0.182497	0.0117735
-0.002200	-0.184264	0.0116824
-0.002150	-0.184033	0.0116901
-0.002100	-0.18185	0.011608
-0.002050	-0.182246	0.0114761
-0.002000	-0.182043	0.011437
-0.001950	-0.179523	0.0115368
-0.001900	-0.179281	0.0116284
-0.001850	-0.178566	0.011638
-0.001800	-0.176809	0.011665
-0.001750	-0.176152	0.011709
-0.001700	-0.177147	0.0117527
-0.001650	-0.17649	0.0116614
-0.001600	-0.176509	0.0117095
-0.001550	-0.175573	0.0116589
-0.001500	-0.176229	0.011524
-0.001450	-0.177919	0.0115585
-0.001400	-0.177572	0.0114769
-0.001350	-0.177466	0.0115067
-0.001300	-0.178566	0.0117054
-0.001250	-0.177166	0.0116603
-0.001200	-0.178393	0.0115689
-0.001150	-0.179185	0.0116458
-0.001100	-0.17904	0.011474
-0.001050	-0.180411	0.0114856
-0.001000	-0.179136	0.0114992
-0.000950	-0.179214	0.0115464
-0.000900	-0.177775	0.0114472
-0.000850	-0.179117	0.0115395
-0.000800	-0.178026	0.0114539
-0.000750	-0.178373	0.0115862
-0.000700	-0.179503	0.0115509
-0.000650	-0.178914	0.0117046
-0.000600	-0.178895	0.0116634
-0.000550	-0.180817	0.0116585
-0.000500	-0.181589	0.0116091
-0.000450	-0.180575	0.0116695
-0.000400	-0.180295	0.011513
-0.000350	-0.179909	0.0113873
-0.000300	-0.17875	0.0114318
-0.000250	-0.180421	0.0114133
-0.000200	-0.18156	0.0113784
-0.000150	-0.180112	0.0114807
-0.000100	-0.179764	0.0115426
-0.000050	-0.179706	0.0114438
0.000000	-0.180942	0.0114189
0.000050	-0.180102	0.0115056
0.000100	-0.180054	0.0114542
0.000150	-0.179967	0.0114719
0.000200	-0.181116	0.0113972
0.000250	-0.182043	0.011331
0.000300	-0.180305	0.0114017
0.000350	-0.179513	0.0112618
0.000400	-0.179687	0.0112782
0.000450	-0.178441	0.0113497
0.000500	-0.178856	0.0114343
0.000550	-0.181184	0.0113283
0.000600	-0.180817	0.011224
0.000650	-0.180305	0.0112798
0.000700	-0.17931	0.0113825
0.000750	-0.178364	0.0113135
0.000800	-0.177572	0.0112594
0.000850	-0.179638	0.0112562
0.000900	-0.18016	0.0112963
0.000950	-0.179571	0.0113283
0.001000	-0.178972	0.0111702
0.001050	-0.181493	0.011167
0.001100	-0.180372	0.0111543
0.001150	-0.179861	0.0111749
0.001200	-0.180971	0.0112004
0.001250	-0.181483	0.0111616
0.001300	-0.180295	0.0112403
