"Time"	"1 highgain"	"SEM"
-0.005000	-0.176886	0.0120598
-0.004950	-0.177105	0.0118954
-0.004900	-0.176756	0.0119797
-0.004850	-0.175657	0.0119004
-0.004800	-0.176136	0.0120298
-0.004750	-0.177196	0.0119102
-0.004700	-0.175786	0.0121469
-0.004650	-0.175411	0.0121957
-0.004600	-0.17536	0.0120674
-0.004550	-0.175592	0.0120207
-0.004500	-0.176601	0.01191
-0.004450	-0.177804	0.0119321
-0.004400	-0.177157	0.0118062
-0.004350	-0.177351	0.0118292
-0.004300	-0.17686	0.0119409
-0.004250	-0.176588	0.0119723
-0.004200	-0.177881	0.0120316
-0.004150	-0.175062	0.0120649
-0.004100	-0.175761	0.0120157
-0.004050	-0.174648	0.0120571
-0.004000	-0.175696	0.011965
-0.003950	-0.176523	0.0118275
-0.003900	-0.177144	0.0117161
-0.003850	-0.179368	0.011576
-0.003800	-0.177933	0.0116147
-0.003750	-0.177661	0.0116426
-0.003700	-0.178049	0.0117406
-0.003650	-0.176265	0.0117939
-0.003600	-0.177274	0.0116537
-0.003550	-0.177791	0.0117101
-0.003500	-0.177855	0.0116106
-0.003450	-0.178424	0.0117487
-0.003400	-0.177274	0.0117627
-0.003350	-0.178179	0.0117067
-0.003300	-0.178541	0.0117634
-0.003250	-0.179459	0.0116424
-0.003200	-0.180739	0.0116281
-0.003150	-0.181709	0.0116688
-0.003100	-0.179562	0.0117108
-0.003050	-0.179433	0.0118366
-0.003000	-0.179161	0.0118643
-0.002950	-0.179756	0.0116113
-0.002900	-0.180403	0.0116986
-0.002850	-0.180571	0.0115731
-0.002800	-0.178476	0.0116545
-0.002750	-0.17823	0.0116146
-0.002700	-0.179485	0.0115899
-0.002650	-0.179498	0.0114263
-0.002600	-0.178256	0.0112646
-0.002550	-0.178502	0.0110969
-0.002500	-0.178334	0.0113355
-0.002450	-0.1777	0.0113358
-0.002400	-0.177907	0.011405
-0.002350	-0.178592	0.011194
-0.002300	-0.177493	0.0110493
-0.002250	-0.178541	0.0110655
-0.002200	-0.17867	0.0111861
-0.002150	-0.180325	0.0112055
-0.002100	-0.17845	0.0110779
-0.002050	-0.178722	0.0110394
-0.002000	-0.179498	0.0110822
-0.001950	-0.178127	0.0109926
-0.001900	-0.176601	0.0109865
-0.001850	-0.176756	0.010889
-0.001800	-0.175411	0.0109527
-0.001750	-0.176821	0.011061
-0.001700	-0.17739	0.0109647
-0.001650	-0.177532	0.0106917
-0.001600	-0.177855	0.0108111
-0.001550	-0.176963	0.0107574
-0.001500	-0.177907	0.0106143
-0.001450	-0.179614	0.0108174
-0.001400	-0.179459	0.010947
-0.001350	-0.177467	0.0110017
-0.001300	-0.176536	0.0109304
-0.001250	-0.175386	0.0109121
-0.001200	-0.174778	0.0110523
-0.001150	-0.176148	0.0111006
-0.001100	-0.177403	0.0109074
-0.001050	-0.177894	0.0109023
-0.001000	-0.176756	0.010783
-0.000950	-0.176032	0.0108567
-0.000900	-0.176187	0.010732
-0.000850	-0.176394	0.0106169
-0.000800	-0.178993	0.0104501
-0.000750	-0.17823	0.0104329
-0.000700	-0.179679	0.0106724
-0.000650	-0.180545	0.0105416
-0.000600	-0.179575	0.0106459
-0.000550	-0.178967	0.0106769
-0.000500	-0.178618	0.0106087
-0.000450	-0.176834	0.0106985
-0.000400	-0.176368	0.0106677
-0.000350	-0.177739	0.0106509
-0.000300	-0.179937	0.0107292
-0.000250	-0.179769	0.0106646
-0.000200	-0.179924	0.0105159
-0.000150	-0.180325	0.0106616
-0.000100	-0.179614	0.0107014
-0.000050	-0.179718	0.0107214
0.000000	-0.18083	0.0107253
0.000050	-0.180002	0.0107332
0.000100	-0.179213	0.0107555
0.000150	-0.176937	0.0108025
0.000200	-0.176782	0.0106433
0.000250	-0.176381	0.0107411
0.000300	-0.176911	0.010773
0.000350	-0.177972	0.0108929
0.000400	-0.176808	0.0108411
0.000450	-0.175851	0.0107637
0.000500	-0.175502	0.0108387
0.000550	-0.174946	0.0106426
0.000600	-0.174752	0.0104794
0.000650	-0.172967	0.0106689
0.000700	-0.172592	0.0108687
0.000750	-0.173886	0.0108873
0.000800	-0.172786	0.0107112
0.000850	-0.174351	0.0107799
0.000900	-0.173717	0.0108324
0.000950	-0.175243	0.0108669
0.001000	-0.174907	0.0108485
0.001050	-0.173989	0.0109028
0.001100	-0.175825	0.0109489
0.001150	-0.177506	0.0109879
0.001200	-0.177274	0.0110272
0.001250	-0.175916	0.0109614
0.001300	-0.17642	0.0108216
0.001350	-0.174455	0.010864
0.001400	-0.175799	0.010945
0.001450	-0.175075	0.010902
0.001500	-0.174506	0.0111188
0.001550	-0.174118	0.0110532
0.001600	-0.174687	0.0110229
0.001650	-0.17448	0.0111675
0.001700	-0.17514	0.0110096
0.001750	-0.177506	0.0109055
0.001800	-0.177597	0.010855
0.001850	-0.177868	0.0108225
0.001900	-0.178062	0.0108673
0.001950	-0.178011	0.0109202
0.002000	-0.177364	0.0109265
0.002050	-0.178049	0.0109762
0.002100	-0.177726	0.0110809
0.002150	-0.178192	0.0110388
0.002200	-0.178657	0.0109913
0.002250	-0.179433	0.0109465
0.002300	-0.18008	0.010865
0.002350	-0.179226	0.0110678
0.002400	-0.180041	0.0110051
0.002450	-0.181877	0.0111285
0.002500	-0.178463	0.0111323
0.002550	-0.176627	0.0111049
0.002600	-0.17611	0.0111312
0.002650	-0.176148	0.011332
0.002700	-0.177286	0.011321
0.002750	-0.176937	0.0114615
0.002800	-0.177054	0.01152
0.002850	-0.174532	0.011392
0.002900	-0.174506	0.0113428
0.002950	-0.175515	0.0113629
0.003000	-0.175437	0.0113555
0.003050	-0.173304	0.0112777
0.003100	-0.173226	0.0112795
0.003150	-0.172993	0.0113093
0.003200	-0.173666	0.0115189
0.003250	-0.171829	0.0116011
0.003300	-0.171636	0.0116392
0.003350	-0.170847	0.0116586
0.003400	-0.170485	0.0116167
0.003450	-0.172153	0.0113963
0.003500	-0.173006	0.0116497
0.003550	-0.172864	0.0115766
0.003600	-0.17214	0.0115233
0.003650	-0.171519	0.0115328
0.003700	-0.1732	0.0117125
0.003750	-0.17245	0.0116333
0.003800	-0.171998	0.0116358
0.003850	-0.172411	0.011378
0.003900	-0.17289	0.0113374
