"Time"	"1 highgain"	"SEM"
-0.005000	-0.142752	0.0160744
-0.004950	-0.14362	0.016155
-0.004900	-0.144372	0.0162022
-0.004850	-0.145076	0.0161216
-0.004800	-0.145111	0.0159869
-0.004750	-0.146426	0.015868
-0.004700	-0.144865	0.0159447
-0.004650	-0.143186	0.0159864
-0.004600	-0.144559	0.0159944
-0.004550	-0.143257	0.016053
-0.004500	-0.143785	0.0160354
-0.004450	-0.14598	0.0161161
-0.004400	-0.146144	0.0162737
-0.004350	-0.145921	0.0160522
-0.004300	-0.144689	0.0160059
-0.004250	-0.143127	0.0161026
-0.004200	-0.14335	0.0160273
-0.004150	-0.143397	0.0160541
-0.004100	-0.144888	0.0159757
-0.004050	-0.14436	0.0157994
-0.004000	-0.143996	0.015811
-0.003950	-0.143468	0.0159237
-0.003900	-0.144008	0.0160547
-0.003850	-0.142822	0.0159132
-0.003800	-0.144536	0.0158968
-0.003750	-0.145721	0.0158943
-0.003700	-0.146214	0.0157624
-0.003650	-0.145851	0.0157275
-0.003600	-0.144606	0.0157294
-0.003550	-0.14335	0.0157844
-0.003500	-0.142893	0.0158981
-0.003450	-0.14524	0.0158877
-0.003400	-0.14652	0.0157556
-0.003350	-0.147165	0.0159429
-0.003300	-0.14605	0.0159639
-0.003250	-0.146942	0.0158707
-0.003200	-0.148961	0.015825
-0.003150	-0.147881	0.0158674
-0.003100	-0.14747	0.0158687
-0.003050	-0.146062	0.0156718
-0.003000	-0.146531	0.0155921
-0.002950	-0.146179	0.0156608
-0.002900	-0.145557	0.0156124
-0.002850	-0.146132	0.0156742
-0.002800	-0.145064	0.0155157
-0.002750	-0.145099	0.0155849
-0.002700	-0.145123	0.0153569
-0.002650	-0.145252	0.0154469
-0.002600	-0.142247	0.0155136
-0.002550	-0.143245	0.0156668
-0.002500	-0.144642	0.0155962
-0.002450	-0.14375	0.0154218
-0.002400	-0.144102	0.0154877
-0.002350	-0.145416	0.0155874
-0.002300	-0.147224	0.0154355
-0.002250	-0.146625	0.0155007
-0.002200	-0.146109	0.015366
-0.002150	-0.145346	0.0152421
-0.002100	-0.147212	0.01524
-0.002050	-0.148832	0.0152493
-0.002000	-0.147576	0.0152413
-0.001950	-0.147259	0.0151335
-0.001900	-0.145909	0.0151164
-0.001850	-0.145639	0.0150889
-0.001800	-0.144747	0.0151779
-0.001750	-0.145909	0.015235
-0.001700	-0.14625	0.0152204
-0.001650	-0.1472	0.0152353
-0.001600	-0.147318	0.0151219
-0.001550	-0.148315	0.0149893
-0.001500	-0.146085	0.0151414
-0.001450	-0.146696	0.0152148
-0.001400	-0.147506	0.0153009
-0.001350	-0.146473	0.0152624
-0.001300	-0.147764	0.0153429
-0.001250	-0.146578	0.015221
-0.001200	-0.147083	0.0151202
-0.001150	-0.146461	0.0152002
-0.001100	-0.145498	0.0151917
-0.001050	-0.14639	0.0152093
-0.001000	-0.145017	0.0153518
-0.000950	-0.145416	0.0154279
-0.000900	-0.145581	0.0155412
-0.000850	-0.144325	0.0154112
-0.000800	-0.144665	0.015289
-0.000750	-0.145405	0.0154245
-0.000700	-0.144536	0.0153972
-0.000650	-0.142599	0.0155545
-0.000600	-0.144888	0.015551
-0.000550	-0.14551	0.0153527
-0.000500	-0.144759	0.0152417
-0.000450	-0.146015	0.0152099
-0.000400	-0.147001	0.0151856
-0.000350	-0.147858	0.0152566
-0.000300	-0.146473	0.0152429
-0.000250	-0.148292	0.0151388
-0.000200	-0.147165	0.0151849
-0.000150	-0.148679	0.0151704
-0.000100	-0.14652	0.0151928
-0.000050	-0.143163	0.0150879
0.000000	-0.142447	0.0151785
0.000050	-0.140639	0.0152324
0.000100	-0.139876	0.0152915
0.000150	-0.139806	0.0151679
0.000200	-0.140862	0.0150577
0.000250	-0.14112	0.0150792
0.000300	-0.14213	0.0149843
0.000350	-0.142822	0.0151629
0.000400	-0.143268	0.0150715
0.000450	-0.143069	0.0150844
0.000500	-0.143679	0.0150481
0.000550	-0.144313	0.0151086
0.000600	-0.144982	0.0151156
0.000650	-0.146613	0.0152097
0.000700	-0.147834	0.0152696
0.000750	-0.149337	0.0152887
0.000800	-0.149231	0.0154296
0.000850	-0.147893	0.0152514
0.000900	-0.14767	0.0152406
0.000950	-0.148398	0.0151832
0.001000	-0.148151	0.0150839
0.001050	-0.148996	0.0151469
0.001100	-0.149055	0.0153091
0.001150	-0.15186	0.0150818
0.001200	-0.152071	0.0149727
0.001250	-0.152177	0.0150108
0.001300	-0.152048	0.0149426
0.001350	-0.151215	0.0150429
0.001400	-0.150581	0.0151074
0.001450	-0.149689	0.0148118
0.001500	-0.150827	0.0149303
