"Time"	"1 highgain"	"SEM"
-0.005000	-0.167863	0.00862537
-0.004950	-0.16797	0.00864303
-0.004900	-0.16774	0.00865401
-0.004850	-0.168121	0.0086401
-0.004800	-0.168204	0.00871997
-0.004750	-0.169082	0.00863312
-0.004700	-0.168948	0.00867381
-0.004650	-0.16878	0.00872123
-0.004600	-0.167282	0.00877317
-0.004550	-0.166869	0.00875788
-0.004500	-0.168417	0.00866988
-0.004450	-0.168596	0.00862751
-0.004400	-0.167998	0.00871512
-0.004350	-0.168892	0.00873074
-0.004300	-0.168478	0.00872635
-0.004250	-0.168249	0.00872809
-0.004200	-0.168422	0.00873429
-0.004150	-0.168232	0.00870236
-0.004100	-0.167992	0.00871365
-0.004050	-0.167612	0.00874855
-0.004000	-0.167433	0.00873734
-0.003950	-0.16717	0.00874791
-0.003900	-0.16717	0.00879224
-0.003850	-0.165695	0.00879411
-0.003800	-0.165734	0.00878151
-0.003750	-0.166639	0.00879443
-0.003700	-0.166298	0.00878492
-0.003650	-0.167903	0.00873796
-0.003600	-0.167467	0.00868411
-0.003550	-0.167003	0.00868436
-0.003500	-0.167528	0.00866842
-0.003450	-0.166829	0.0086179
-0.003400	-0.167321	0.00867254
-0.003350	-0.167931	0.00863197
-0.003300	-0.167366	0.00863882
-0.003250	-0.166209	0.00876877
-0.003200	-0.167316	0.0088393
-0.003150	-0.167159	0.00883702
-0.003100	-0.166164	0.0087755
-0.003050	-0.166992	0.00874686
-0.003000	-0.168081	0.00875343
-0.002950	-0.167863	0.00876846
-0.002900	-0.167075	0.00870318
-0.002850	-0.166148	0.0087323
-0.002800	-0.168255	0.00866556
-0.002750	-0.168462	0.00867671
-0.002700	-0.167975	0.00863826
-0.002650	-0.168517	0.00871631
-0.002600	-0.168104	0.00867812
-0.002550	-0.169233	0.0086888
-0.002500	-0.168987	0.00874024
-0.002450	-0.167819	0.00873333
-0.002400	-0.166896	0.00865754
-0.002350	-0.167142	0.00869394
-0.002300	-0.168545	0.0086699
-0.002250	-0.168003	0.00860581
-0.002200	-0.166807	0.00856591
-0.002150	-0.167992	0.00857476
-0.002100	-0.168674	0.00859112
-0.002050	-0.16835	0.00862211
-0.002000	-0.16797	0.00862677
-0.001950	-0.165734	0.00853911
-0.001900	-0.165589	0.00855789
-0.001850	-0.165857	0.00855712
-0.001800	-0.165728	0.00857628
-0.001750	-0.164644	0.00854836
-0.001700	-0.164057	0.00864093
-0.001650	-0.164471	0.00861257
-0.001600	-0.164365	0.00858515
-0.001550	-0.164616	0.00864341
-0.001500	-0.165281	0.00860688
-0.001450	-0.164979	0.00854575
-0.001400	-0.165767	0.00847541
-0.001350	-0.166405	0.0084148
-0.001300	-0.165371	0.00840027
-0.001250	-0.165169	0.00847239
-0.001200	-0.165046	0.00848081
-0.001150	-0.164325	0.00850043
