"Time"	"1 highgain"	"SEM"
-0.005000	-0.17649	0.00974243
-0.004950	-0.17441	0.00973345
-0.004900	-0.174358	0.00972555
-0.004850	-0.174548	0.00968977
-0.004800	-0.176343	0.00967698
-0.004750	-0.178198	0.00961749
-0.004700	-0.178294	0.00959773
-0.004650	-0.17806	0.00958967
-0.004600	-0.177834	0.00960058
-0.004550	-0.175988	0.00966871
-0.004500	-0.175415	0.00966206
-0.004450	-0.176759	0.00972995
-0.004400	-0.175051	0.00956188
-0.004350	-0.176421	0.00957336
-0.004300	-0.176924	0.00970908
-0.004250	-0.178441	0.00972168
-0.004200	-0.177427	0.00973261
-0.004150	-0.177713	0.00976543
-0.004100	-0.176907	0.00977392
-0.004050	-0.177661	0.00975985
-0.004000	-0.177817	0.0096687
-0.003950	-0.176725	0.0095891
-0.003900	-0.176508	0.00976103
-0.003850	-0.178346	0.0097213
-0.003800	-0.178302	0.00967616
-0.003750	-0.1778	0.00967206
-0.003700	-0.178216	0.00968039
-0.003650	-0.178857	0.00965337
-0.003600	-0.178762	0.00963515
-0.003550	-0.178415	0.00971831
-0.003500	-0.179759	0.00969089
-0.003450	-0.180756	0.009648
-0.003400	-0.181658	0.0095904
-0.003350	-0.181666	0.00968075
-0.003300	-0.181233	0.00983218
-0.003250	-0.180062	0.00975402
-0.003200	-0.180609	0.00970859
-0.003150	-0.180747	0.0096738
-0.003100	-0.181267	0.00963462
-0.003050	-0.180721	0.00958468
-0.003000	-0.180357	0.00955635
-0.002950	-0.179291	0.00967259
-0.002900	-0.179525	0.00964016
-0.002850	-0.179395	0.00964856
-0.002800	-0.178458	0.00969864
-0.002750	-0.178181	0.0095235
-0.002700	-0.177392	0.0096003
-0.002650	-0.177869	0.00974235
-0.002600	-0.178086	0.00972967
-0.002550	-0.175641	0.00968122
-0.002500	-0.174323	0.00976586
-0.002450	-0.174913	0.00977886
-0.002400	-0.174375	0.00986547
-0.002350	-0.17369	0.00975157
-0.002300	-0.174496	0.00970688
-0.002250	-0.17597	0.00976193
-0.002200	-0.176586	0.00990082
-0.002150	-0.176005	0.00992497
-0.002100	-0.175953	0.00983925
-0.002050	-0.176352	0.00978461
-0.002000	-0.175658	0.00981449
-0.001950	-0.174011	0.0098847
-0.001900	-0.172754	0.00988066
-0.001850	-0.171592	0.00987024
-0.001800	-0.172156	0.00980184
-0.001750	-0.171982	0.00982331
-0.001700	-0.173343	0.00987481
-0.001650	-0.172095	0.0098056
-0.001600	-0.172052	0.00976835
-0.001550	-0.173144	0.00980065
-0.001500	-0.173924	0.0098486
-0.001450	-0.172641	0.00981106
-0.001400	-0.173725	0.00986994
-0.001350	-0.174054	0.00987821
-0.001300	-0.174505	0.00989764
-0.001250	-0.173283	0.0099003
-0.001200	-0.17271	0.00991783
-0.001150	-0.172546	0.0100361
-0.001100	-0.172676	0.01015
-0.001050	-0.171791	0.0102313
-0.001000	-0.171878	0.010251
-0.000950	-0.171731	0.0100944
-0.000900	-0.171592	0.0101035
-0.000850	-0.17265	0.0100544
-0.000800	-0.172554	0.0100612
-0.000750	-0.172164	0.0102033
-0.000700	-0.173075	0.0103242
-0.000650	-0.172563	0.0103025
-0.000600	-0.173421	0.01013
-0.000550	-0.173785	0.0101684
-0.000500	-0.172502	0.010229
-0.000450	-0.171757	0.0102165
-0.000400	-0.172312	0.0101716
-0.000350	-0.172468	0.0102522
-0.000300	-0.171679	0.0101588
-0.000250	-0.172416	0.0102681
-0.000200	-0.172182	0.0102313
-0.000150	-0.173517	0.0101888
-0.000100	-0.174965	0.0101298
-0.000050	-0.173153	0.010087
0.000000	-0.172563	0.00998059
0.000050	-0.173369	0.0100615
0.000100	-0.171783	0.0100598
0.000150	-0.169849	0.0102285
0.000200	-0.167795	0.0103059
0.000250	-0.167795	0.0102483
0.000300	-0.168402	0.0101889
0.000350	-0.169043	0.0101888
0.000400	-0.169399	0.0102134
0.000450	-0.16991	0.0101457
0.000500	-0.168584	0.010231
0.000550	-0.167942	0.0101672
0.000600	-0.167144	0.0101989
0.000650	-0.167595	0.0102497
0.000700	-0.168063	0.0102707
0.000750	-0.168506	0.0103277
0.000800	-0.169633	0.0102995
0.000850	-0.170144	0.010406
0.000900	-0.170786	0.0103251
0.000950	-0.170595	0.0103416
