"Time"	"1 highgain"	"SEM"
-0.005000	-0.179354	0.0130759
-0.004950	-0.181155	0.0131274
-0.004900	-0.181407	0.0131322
-0.004850	-0.180409	0.0131717
-0.004800	-0.179423	0.0131785
-0.004750	-0.178436	0.0132424
-0.004700	-0.179262	0.0131411
-0.004650	-0.179423	0.0132474
-0.004600	-0.17862	0.0132676
-0.004550	-0.179675	0.0133623
-0.004500	-0.18096	0.0132979
-0.004450	-0.180077	0.0132823
-0.004400	-0.180639	0.0133069
-0.004350	-0.181075	0.0131833
-0.004300	-0.180272	0.0131769
-0.004250	-0.181683	0.0131766
-0.004200	-0.180432	0.013232
-0.004150	-0.179687	0.0132205
-0.004100	-0.180077	0.013269
-0.004050	-0.181212	0.0132249
-0.004000	-0.181557	0.0131132
-0.003950	-0.181178	0.0129921
-0.003900	-0.182256	0.0131264
-0.003850	-0.181052	0.0130723
-0.003800	-0.182784	0.0131864
-0.003750	-0.183587	0.0130982
-0.003700	-0.183954	0.0130561
-0.003650	-0.18283	0.0132019
-0.003600	-0.18065	0.013213
-0.003550	-0.18158	0.0133114
-0.003500	-0.184058	0.0134267
-0.003450	-0.184689	0.0133831
-0.003400	-0.187729	0.0131763
-0.003350	-0.187259	0.0130922
-0.003300	-0.187029	0.0131376
-0.003250	-0.18696	0.0132852
-0.003200	-0.186352	0.0134262
-0.003150	-0.186501	0.0133127
-0.003100	-0.18696	0.013298
-0.003050	-0.187247	0.0130606
-0.003000	-0.186869	0.0132204
-0.002950	-0.18618	0.0131962
-0.002900	-0.184585	0.0132415
-0.002850	-0.18478	0.0132818
-0.002800	-0.18439	0.0132162
-0.002750	-0.185744	0.0131451
-0.002700	-0.186811	0.0131108
-0.002650	-0.188371	0.0131304
-0.002600	-0.188245	0.0132007
-0.002550	-0.186283	0.013248
-0.002500	-0.188245	0.0131575
-0.002450	-0.187465	0.013062
-0.002400	-0.185572	0.0131148
-0.002350	-0.18657	0.0132897
-0.002300	-0.187098	0.0132861
-0.002250	-0.187591	0.0131806
-0.002200	-0.185847	0.013141
-0.002150	-0.186605	0.0131453
-0.002100	-0.185813	0.0130907
-0.002050	-0.186203	0.0129692
-0.002000	-0.185102	0.0128222
-0.001950	-0.182865	0.0128253
-0.001900	-0.181866	0.0129283
-0.001850	-0.180329	0.0128909
-0.001800	-0.182371	0.0130903
-0.001750	-0.182302	0.0128448
-0.001700	-0.182945	0.0128404
-0.001650	-0.182348	0.0129224
-0.001600	-0.18236	0.0130391
-0.001550	-0.181362	0.0130336
-0.001500	-0.181637	0.0129567
-0.001450	-0.181224	0.0131317
-0.001400	-0.181947	0.0130817
-0.001350	-0.180283	0.0130073
-0.001300	-0.181144	0.0131561
-0.001250	-0.179928	0.0130436
-0.001200	-0.179457	0.0130261
-0.001150	-0.179514	0.0129611
-0.001100	-0.179319	0.0130035
-0.001050	-0.179847	0.0130993
-0.001000	-0.180363	0.0130793
-0.000950	-0.181098	0.0132791
-0.000900	-0.18065	0.0132849
-0.000850	-0.180272	0.0132686
-0.000800	-0.179434	0.0132505
-0.000750	-0.178172	0.013209
-0.000700	-0.178643	0.0133211
-0.000650	-0.179744	0.0133676
-0.000600	-0.180249	0.0132982
-0.000550	-0.181924	0.013106
-0.000500	-0.182176	0.0131483
-0.000450	-0.181935	0.0130725
-0.000400	-0.182819	0.0132104
-0.000350	-0.182933	0.0132885
-0.000300	-0.182463	0.0134903
-0.000250	-0.180547	0.0132842
-0.000200	-0.179423	0.0131526
-0.000150	-0.180031	0.0132431
