,time,code,ampshift,fsl,onset,spkamp,exptname
5,1.8851674999999999,T,30.0,3.2026688907422853,2.4020016680567142,17.51708984375,20200129_002
7,2.2789474999999997,T,10.0,3.978315262718932,3.127606338615513,15.7012939453125,20200129_002
9,2.6727274999999997,T,-20.0,,,0.0,20200129_002
11,3.0664874999999996,T,-40.0,,,0.0,20200129_002
13,3.4602674999999996,T,-10.0,5.72977481234362,4.528773978315263,15.4571533203125,20200129_002
15,3.8540474999999996,T,-5.0,5.129274395329441,4.278565471226021,13.763427734375,20200129_002
17,4.2478275,T,-30.0,,,0.0,20200129_002
19,4.6415875,T,40.0,2.902418682235196,2.201834862385321,15.3350830078125,20200129_002
21,5.0353674999999996,T,5.0,4.103419516263553,3.2527105921601334,16.1895751953125,20200129_002
23,5.4291275,T,20.0,3.427856547122602,2.702251876563803,17.181396484375,20200129_002
25,5.8229275,T,0.0,4.753961634695579,3.90325271059216,16.3421630859375,20200129_002
32,7.201127499999999,T,30.0,3.152627189324437,2.3519599666388658,18.24951171875,20200129_002
34,7.5948875,T,10.0,3.953294412010008,3.127606338615513,17.822265625,20200129_002
36,7.988667499999999,T,-20.0,8.031693077564636,6.330275229357798,15.3961181640625,20200129_002
38,8.3824475,T,-40.0,,,0.0,20200129_002
40,8.7762275,T,-10.0,5.97998331943286,4.428690575479566,16.90673828125,20200129_002
42,9.1700275,T,-5.0,5.354462051709758,4.228523769808174,16.29638671875,20200129_002
44,9.563767499999999,T,-30.0,,,0.0,20200129_002
46,9.957547499999999,T,40.0,2.9274395329441196,1.0258548790658883,17.8985595703125,20200129_002
48,10.351327499999998,T,5.0,4.128440366972478,3.402835696413678,17.547607421875,20200129_002
50,10.745127499999999,T,20.0,3.452877397831526,2.727272727272727,17.730712890625,20200129_002
52,11.138867499999998,T,0.0,4.753961634695579,3.828190158465388,16.9219970703125,20200129_002
59,12.517087499999999,T,30.0,3.152627189324437,2.3019182652210173,16.9525146484375,20200129_002
61,12.9108475,T,10.0,4.053377814845704,3.0775646371976646,16.693115234375,20200129_002
63,13.304627499999999,T,-20.0,8.306922435362802,6.405337781484571,13.885498046875,20200129_002
65,13.6984275,T,-40.0,,,0.0,20200129_002
67,14.09217,T,-10.0,5.579649708090075,4.603836530442035,15.380859375,20200129_002
69,14.485947499999998,T,-5.0,5.204336947456214,1.0258548790658883,14.556884765625,20200129_002
71,14.8797275,T,-30.0,,,0.0,20200129_002
73,15.273527499999998,T,40.0,2.8773978315262716,1.0258548790658883,15.7470703125,20200129_002
75,15.667287499999999,T,5.0,4.228523769808174,3.302752293577982,14.1754150390625,20200129_002
77,16.061047499999997,T,20.0,3.5279399499582986,1.0258548790658883,14.984130859375,20200129_002
79,16.454827499999997,T,0.0,4.728940783986655,3.7531276063386154,14.09912109375,20200129_002
86,17.8330275,T,30.0,3.152627189324437,2.4520433694745623,13.8702392578125,20200129_002
88,18.2268275,T,10.0,,,0.0,20200129_002
90,18.6205875,T,-20.0,7.756463719766472,6.155129274395329,12.3443603515625,20200129_002
92,19.0143675,T,-40.0,,,0.0,20200129_002
94,19.4081475,T,-10.0,5.904920767306089,4.678899082568807,13.4124755859375,20200129_002
96,19.801927499999998,T,-5.0,5.054211843202668,4.178482068390325,14.739990234375,20200129_002
98,20.195727499999997,T,-30.0,,,0.0,20200129_002
100,20.589467499999998,T,40.0,2.902418682235196,2.0767306088407005,15.8538818359375,20200129_002
102,20.983247499999997,T,5.0,4.278565471226021,3.402835696413678,14.373779296875,20200129_002
104,21.377027499999997,T,20.0,3.5279399499582986,1.0258548790658883,15.44189453125,20200129_002
106,21.7708275,T,0.0,4.854045037531276,3.878231859883236,14.5416259765625,20200129_002
113,23.1490275,T,30.0,3.2026688907422853,2.3269391159299415,16.2811279296875,20200129_002
115,23.542827499999998,T,10.0,4.153461217681401,3.227689741451209,14.6942138671875,20200129_002
117,23.9365675,T,-20.0,7.80650542118432,6.4804003336113425,14.404296875,20200129_002
119,24.3303475,T,-40.0,,,0.0,20200129_002
121,24.724127499999998,T,-10.0,5.904920767306089,4.528773978315263,14.984130859375,20200129_002
123,25.117927499999997,T,-5.0,5.179316096747289,4.178482068390325,14.9993896484375,20200129_002
125,25.511667499999998,T,-30.0,,,0.0,20200129_002
127,25.905447499999998,T,40.0,2.902418682235196,1.0258548790658883,16.1895751953125,20200129_002
129,26.299227499999997,T,5.0,4.378648874061717,3.302752293577982,15.2740478515625,20200129_002
131,26.693027499999996,T,20.0,3.5279399499582986,2.727272727272727,15.9454345703125,20200129_002
133,27.086767499999997,T,-0.0,4.854045037531276,3.878231859883236,14.6484375,20200129_002
140,28.464987499999996,T,30.0,3.177648040033361,2.427022518765638,16.78466796875,20200129_002
142,28.8587675,T,10.0,4.178482068390325,1.0258548790658883,15.411376953125,20200129_002
144,29.252527499999996,T,-20.0,9.157631359466222,6.980817347789825,12.603759765625,20200129_002
146,29.646327499999998,T,-40.0,,,0.0,20200129_002
148,30.0400875,T,-10.0,5.879899916597164,4.603836530442035,14.862060546875,20200129_002
150,30.433867499999998,T,-5.0,5.229357798165138,4.103419516263553,15.350341796875,20200129_002
152,30.8276275,T,-30.0,,,0.0,20200129_002
154,31.221427499999997,T,40.0,2.8773978315262716,2.176814011676397,17.08984375,20200129_002
156,31.615187499999998,T,5.0,4.353628023352794,3.452877397831526,15.8843994140625,20200129_002
158,32.0089675,T,20.0,3.603002502085071,2.7522935779816513,17.333984375,20200129_002
160,32.4027275,T,0.0,4.8040033361134284,3.853211009174312,15.5487060546875,20200129_002
167,33.780947499999996,T,30.0,3.177648040033361,2.4520433694745623,17.39501953125,20200129_002
169,34.174727499999996,T,10.0,4.153461217681401,3.227689741451209,16.7999267578125,20200129_002
171,34.568487499999996,T,-20.0,,,0.0,20200129_002
173,34.962267499999996,T,-40.0,,,0.0,20200129_002
175,35.356047499999995,T,-10.0,6.180150125104253,4.854045037531276,14.9688720703125,20200129_002
177,35.749827499999995,T,-5.0,5.279399499582985,4.253544620517098,16.05224609375,20200129_002
179,36.143587499999995,T,-30.0,,,0.0,20200129_002
181,36.537367499999995,T,40.0,2.9274395329441196,2.0517097581317767,17.5628662109375,20200129_002
183,36.931147499999994,T,5.0,4.428690575479566,3.4778982485404506,16.265869140625,20200129_002
185,37.324927499999994,T,20.0,3.603002502085071,2.727272727272727,17.181396484375,20200129_002
