,time,code,ampshift,fsl,onset,spkamp,pspamp,exptname,nspk
534,56.26987999999999,T,-20.0,10.71071071071071,7.6076076076076085,6.0882568359375,5.8746337890625,20200719_003,0
536,56.518769999999996,T,40.0,6.106106106106107,3.3533533533533535,9.7198486328125,9.5977783203125,20200719_003,0
538,56.68982,T,5.0,7.6076076076076085,4.354354354354355,8.026123046875,8.0108642578125,20200719_003,0
546,57.67088,T,-40.0,,,0.0,0.0,20200719_003,0
548,57.90906999999999,T,30.0,6.356356356356357,3.653653653653654,9.368896484375,9.1552734375,20200719_003,0
550,58.132979999999996,T,-0.0,7.307307307307308,4.504504504504505,8.056640625,8.026123046875,20200719_003,0
552,58.38419,T,20.0,6.706706706706707,3.8038038038038042,9.4146728515625,9.185791015625,20200719_003,0
554,58.60928,T,-30.0,,,0.0,0.0457763671875,20200719_003,0
556,58.838229999999996,T,-5.0,7.357357357357357,4.954954954954956,6.89697265625,6.9122314453125,20200719_003,0
558,59.030519999999996,T,10.0,6.906906906906907,4.2042042042042045,8.148193359375,7.99560546875,20200719_003,0
560,59.257909999999995,T,-10.0,8.058058058058059,5.405405405405405,7.293701171875,7.2174072265625,20200719_003,0
562,59.472579999999994,T,-20.0,9.50950950950951,7.057057057057057,5.3558349609375,5.2032470703125,20200719_003,0
564,59.69360999999999,T,40.0,6.156156156156156,3.3033033033033035,9.6893310546875,9.3841552734375,20200719_003,0
566,59.87168,T,5.0,7.407407407407407,4.304304304304304,7.8582763671875,7.7056884765625,20200719_003,0
574,60.723479999999995,T,-40.0,,,0.0,-0.0457763671875,20200719_003,0
576,60.953109999999995,T,30.0,6.556556556556557,3.4534534534534536,9.7198486328125,9.765625,20200719_003,0
578,61.12938,T,0.0,7.407407407407407,4.654654654654655,8.087158203125,7.9803466796875,20200719_003,0
580,61.342209999999994,T,20.0,6.756756756756757,3.7037037037037037,9.33837890625,9.1400146484375,20200719_003,0
582,61.5716,T,-30.0,,,0.0,-0.1373291015625,20200719_003,0
584,61.770469999999996,T,-5.0,8.108108108108109,4.854854854854855,7.232666015625,7.1868896484375,20200719_003,0
586,61.9993,T,10.0,7.057057057057057,4.004004004004004,9.1705322265625,9.0484619140625,20200719_003,0
588,62.246469999999995,T,-10.0,8.458458458458459,5.405405405405405,7.6141357421875,7.3394775390625,20200719_003,0
590,62.4612,T,-20.0,9.65965965965966,7.007007007007007,5.5389404296875,5.5389404296875,20200719_003,0
592,62.686069999999994,T,40.0,6.106106106106107,3.3033033033033035,10.101318359375,9.8419189453125,20200719_003,0
594,62.858399999999996,T,5.0,7.307307307307308,4.454454454454455,8.4228515625,8.209228515625,20200719_003,0
602,63.64737999999999,T,-40.0,,,0.0,0.0457763671875,20200719_003,0
604,63.814809999999994,T,30.0,6.456456456456457,3.6036036036036037,9.8724365234375,9.735107421875,20200719_003,0
606,64.04838,T,-0.0,7.407407407407407,4.704704704704705,7.8582763671875,7.6751708984375,20200719_003,0
608,64.29438999999999,T,20.0,6.756756756756757,3.653653653653654,9.246826171875,9.124755859375,20200719_003,0
610,64.56309999999999,T,-30.0,,,0.0,0.091552734375,20200719_003,0
612,64.78743,T,-5.0,7.707707707707708,4.954954954954956,7.049560546875,6.9580078125,20200719_003,0
614,64.96884,T,10.0,7.407407407407407,4.054054054054054,8.575439453125,8.3770751953125,20200719_003,0
616,65.20559,T,-10.0,8.458458458458459,5.7057057057057055,6.7901611328125,6.744384765625,20200719_003,0
618,65.44238,T,-20.0,8.95895895895896,6.906906906906907,2.1820068359375,2.38037109375,20200719_003,0
620,65.69650999999999,T,40.0,6.306306306306307,3.4534534534534536,10.6964111328125,10.6964111328125,20200719_003,0
622,65.86518,T,5.0,7.157157157157158,4.354354354354355,8.544921875,8.30078125,20200719_003,0
630,66.75128,T,-40.0,,,0.0,-0.030517578125,20200719_003,0
632,66.97829,T,30.0,6.306306306306307,3.5535535535535536,9.521484375,9.5062255859375,20200719_003,0
634,67.1506,T,0.0,7.5075075075075075,4.754754754754755,7.598876953125,7.50732421875,20200719_003,0
636,67.40677,T,20.0,6.556556556556557,3.9539539539539543,9.033203125,9.033203125,20200719_003,0
638,67.64707999999999,T,-30.0,,,0.0,-0.0457763671875,20200719_003,0
640,67.82291,T,-5.0,7.6076076076076085,5.105105105105106,6.8511962890625,6.8511962890625,20200719_003,0
642,68.06002,T,10.0,7.057057057057057,4.104104104104104,8.60595703125,8.3770751953125,20200719_003,0
644,68.31311,T,-10.0,8.458458458458459,5.155155155155155,7.1563720703125,6.89697265625,20200719_003,0
646,68.55211999999999,T,-20.0,10.610610610610612,7.457457457457458,5.92041015625,5.9814453125,20200719_003,0
648,68.80542999999999,T,40.0,6.056056056056057,3.3533533533533535,10.19287109375,10.07080078125,20200719_003,0
650,69.0379,T,5.0,7.207207207207207,4.2542542542542545,8.1329345703125,8.148193359375,20200719_003,0
1127,153.282865,T,-40.0,,,0.0,-0.030517578125,20200718_010,0
1129,153.54045499999998,T,-20.0,6.656656656656657,3.5035035035035036,10.7574462890625,10.6658935546875,20200718_010,0
1131,153.854965,T,30.0,4.604604604604605,2.052052052052052,11.3372802734375,11.4898681640625,20200718_010,0
1133,154.192995,T,10.0,4.954954954954956,2.052052052052052,12.3443603515625,11.993408203125,20200718_010,0
1135,154.50910499999998,T,5.0,5.005005005005005,2.3523523523523524,11.65771484375,11.5203857421875,20200718_010,0
1137,154.76799499999998,T,-30.0,7.807807807807809,4.954954954954956,7.5836181640625,7.50732421875,20200718_010,0
1139,155.024545,T,20.0,4.804804804804806,2.052052052052052,11.7645263671875,11.6424560546875,20200718_010,0
1141,155.29279499999998,T,40.0,4.654654654654655,2.052052052052052,11.383056640625,11.322021484375,20200718_010,0
1143,155.569405,T,-5.0,5.455455455455456,2.7527527527527527,12.26806640625,12.359619140625,20200718_010,0
1145,155.83789499999997,T,-10.0,5.9559559559559565,2.802802802802803,12.054443359375,12.0391845703125,20200718_010,0
1147,156.11136499999998,T,0.0,5.305305305305306,2.5025025025025025,12.1307373046875,12.2833251953125,20200718_010,0
1155,157.223785,T,-40.0,,,0.0,0.0152587890625,20200718_010,0
1157,157.387095,T,-20.0,7.007007007007007,3.6036036036036037,10.9405517578125,11.04736328125,20200718_010,0
1159,157.64610499999998,T,30.0,4.554554554554555,2.052052052052052,11.7340087890625,11.7034912109375,20200718_010,0
1161,157.96145499999997,T,10.0,4.904904904904905,2.2522522522522523,11.8560791015625,11.7950439453125,20200718_010,0
1163,158.26814499999998,T,5.0,5.205205205205205,2.402402402402403,11.8408203125,11.9171142578125,20200718_010,0
1165,158.55699499999997,T,-30.0,7.707707707707708,4.904904904904905,6.8511962890625,6.9122314453125,20200718_010,0
1167,158.70170499999998,T,20.0,4.854854854854855,2.052052052052052,11.65771484375,11.5966796875,20200718_010,0
1169,158.96585499999998,T,40.0,4.454454454454455,2.052052052052052,11.1846923828125,11.3067626953125,20200718_010,0
1171,159.285285,T,-5.0,5.605605605605606,2.7527527527527527,12.176513671875,12.1612548828125,20200718_010,0
1173,159.619195,T,-10.0,6.006006006006006,2.902902902902903,12.0849609375,12.1002197265625,20200718_010,0
1175,159.918805,T,0.0,5.205205205205205,2.5025025025025025,12.02392578125,12.054443359375,20200718_010,0
1183,160.94868499999998,T,-40.0,,,0.0,0.1068115234375,20200718_010,0
1185,161.113575,T,-20.0,6.806806806806807,3.4534534534534536,11.2762451171875,11.3067626953125,20200718_010,0
1187,161.385225,T,30.0,4.654654654654655,2.052052052052052,11.1541748046875,11.1541748046875,20200718_010,0
1189,161.68317499999998,T,10.0,4.954954954954956,2.152152152152152,11.7034912109375,11.688232421875,20200718_010,0
1191,161.95090499999998,T,5.0,5.105105105105106,2.2522522522522523,11.8255615234375,11.8560791015625,20200718_010,0
1193,162.247175,T,-30.0,7.707707707707708,5.205205205205205,7.1563720703125,7.1563720703125,20200718_010,0
1195,162.45260499999998,T,20.0,4.804804804804806,2.052052052052052,11.5814208984375,11.5203857421875,20200718_010,0
1197,162.74817499999997,T,40.0,4.504504504504505,2.052052052052052,11.5966796875,11.7340087890625,20200718_010,0
1199,163.00572499999998,T,-5.0,5.605605605605606,2.802802802802803,12.0697021484375,12.14599609375,20200718_010,0
1201,163.325975,T,-10.0,5.755755755755756,2.802802802802803,12.054443359375,12.1002197265625,20200718_010,0
1203,163.61198499999998,T,0.0,5.255255255255256,2.552552552552553,12.14599609375,12.2222900390625,20200718_010,0
