,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
1301,174.61653249999998,T,-20.0,,,,,,,,,20200531,20200531_001
1305,175.25739249999998,T,0.0,,,,,,,,,20200531,20200531_001
1309,175.8658525,T,-30.0,,,,,,,,,20200531,20200531_001
1313,176.5425325,T,-40.0,,,,,,,,,20200531,20200531_001
1317,177.19149249999998,T,30.0,4.766355140186916,64.75830078125,7.690253671562083,57.403564453125,,,,,20200531,20200531_001
1321,177.92107249999998,T,20.0,5.246995994659546,64.75830078125,,,,,,,20200531,20200531_001
1325,178.55339249999997,T,-10.0,,,,,,,,,20200531,20200531_001
1329,179.2090925,T,40.0,4.145527369826436,64.7735595703125,5.947930574098798,49.3621826171875,,,,,20200531,20200531_001
1333,179.81979249999998,T,5.0,7.069425901201602,64.849853515625,,,,,,,20200531,20200531_001
1337,180.48321249999998,T,-5.0,,,,,,,,,20200531,20200531_001
1341,181.15199249999998,T,10.0,7.409879839786381,64.3768310546875,,,,,,,20200531,20200531_001
1355,183.51247249999997,T,-20.0,,,,,,,,,20200531,20200531_001
1359,184.1144325,T,0.0,8.35113484646195,64.605712890625,,,,,,,20200531,20200531_001
1363,184.78315249999997,T,-30.0,,,,,,,,,20200531,20200531_001
1367,185.4734925,T,-40.0,,,,,,,,,20200531,20200531_001
1371,186.12739249999998,T,30.0,4.606141522029372,65.1397705078125,7.229639519359146,56.8084716796875,,,,,20200531,20200531_001
1375,186.77625249999997,T,20.0,5.427236315086782,64.8651123046875,,,,,,,20200531,20200531_001
1379,187.4711525,T,-10.0,,,,,,,,,20200531,20200531_001
1383,188.1247325,T,40.0,4.145527369826436,64.697265625,5.947930574098798,49.2706298828125,,,,,20200531,20200531_001
1387,188.75953249999998,T,5.0,7.550066755674232,64.483642578125,,,,,,,20200531,20200531_001
1391,189.4187725,T,-5.0,,,,,,,,,20200531,20200531_001
1395,190.00335249999998,T,10.0,7.970627503337784,63.7969970703125,,,,,,,20200531,20200531_001
1409,191.8888925,T,-20.0,,,,,,,,,20200531,20200531_001
1413,192.4494125,T,-0.0,10.033377837116156,63.9190673828125,,,,,,,20200531,20200531_001
1417,193.01903249999998,T,-30.0,,,,,,,,,20200531,20200531_001
1421,193.65101249999998,T,-40.0,,,,,,,,,20200531,20200531_001
1425,194.27671249999997,T,30.0,4.986648865153538,65.0177001953125,,,,,,,20200531,20200531_001
1429,194.8904925,T,20.0,5.267022696929239,64.8651123046875,,,,,,,20200531,20200531_001
1433,195.5119125,T,-10.0,,,,,,,,,20200531,20200531_001
1437,196.13365249999998,T,40.0,4.145527369826436,64.453125,5.987983978638184,49.13330078125,,,,,20200531,20200531_001
1441,196.77761249999998,T,5.0,6.949265687583445,64.5294189453125,,,,,,,20200531,20200531_001
1445,197.45341249999998,T,-5.0,,,,,,,,,20200531,20200531_001
1449,198.09825249999997,T,10.0,6.488651535380507,64.2852783203125,,,,,,,20200531,20200531_001
1463,200.12779249999997,T,-20.0,,,,,,,,,20200531,20200531_001
1467,200.77683249999998,T,-0.0,,,,,,,,,20200531,20200531_001
1471,201.42605249999997,T,-30.0,,,,,,,,,20200531,20200531_001
1475,202.11089249999998,T,-40.0,,,,,,,,,20200531,20200531_001
1479,202.77459249999998,T,30.0,4.606141522029372,63.934326171875,6.969292389853137,54.01611328125,,,,,20200531,20200531_001
1483,203.45975249999998,T,20.0,5.547396528704939,63.6138916015625,,,,,,,20200531,20200531_001
1487,204.09279249999997,T,-10.0,,,,,,,,,20200531,20200531_001
1491,204.71079249999997,T,40.0,4.105473965287049,63.1256103515625,5.8678237650200264,46.1883544921875,,,,,20200531,20200531_001
1495,205.2645125,T,5.0,7.690253671562083,62.68310546875,,,,,,,20200531,20200531_001
1499,205.92955249999997,T,-5.0,,,,,,,,,20200531,20200531_001
1503,206.4980125,T,10.0,6.468624833110814,63.4002685546875,,,,,,,20200531,20200531_001
1517,208.7409525,T,-20.0,,,,,,,,,20200531,20200531_001
1521,209.3483925,T,-0.0,,,,,,,,,20200531,20200531_001
1525,209.9673925,T,-30.0,,,,,,,,,20200531,20200531_001
