,time,code,ampshift,fsl,onset,spkamp,exptname
63,8.9705175,T,-40.0,,,0.0,20200621_000
65,9.264127499999999,T,10.0,3.5559265442404007,1.0517529215358932,36.3006591796875,20200621_000
67,9.545937499999999,T,-20.0,6.76126878130217,1.0517529215358932,37.994384765625,20200621_000
69,9.8506475,T,-5.0,4.607679465776293,1.0517529215358932,36.956787109375,20200621_000
71,10.073917499999999,T,40.0,2.7545909849749584,1.0517529215358932,36.19384765625,20200621_000
73,10.3396075,T,-0.0,4.156928213689483,1.0517529215358932,36.7279052734375,20200621_000
75,10.5638975,T,5.0,3.9065108514190316,1.0517529215358932,36.9873046875,20200621_000
77,10.768927499999998,T,30.0,2.9549248747913186,1.0517529215358932,36.3006591796875,20200621_000
79,10.981957499999998,T,-30.0,,,0.0,20200621_000
81,11.185787499999998,T,20.0,3.2554257095158596,1.0517529215358932,36.285400390625,20200621_000
83,11.3828175,T,-10.0,5.258764607679466,1.0517529215358932,37.506103515625,20200621_000
91,11.932117499999999,T,-40.0,,,0.0,20200621_000
93,12.0471075,T,10.0,3.6060100166944906,1.0517529215358932,36.1480712890625,20200621_000
95,12.169497499999999,T,-20.0,7.612687813021702,1.1519198664440733,38.360595703125,20200621_000
97,12.284867499999999,T,-5.0,4.607679465776293,1.0517529215358932,36.5753173828125,20200621_000
99,12.403697499999998,T,40.0,2.8046744574290483,1.0517529215358932,36.163330078125,20200621_000
101,12.5235875,T,0.0,4.3572621035058425,1.0517529215358932,35.2783203125,20200621_000
103,12.636737499999999,T,5.0,4.006677796327212,1.0517529215358932,35.1715087890625,20200621_000
105,12.7454475,T,30.0,3.0050083472454086,1.0517529215358932,35.5224609375,20200621_000
107,12.854937499999998,T,-30.0,,,0.0,20200621_000
109,12.962527499999998,T,20.0,3.30550918196995,1.0517529215358932,35.3851318359375,20200621_000
111,13.0713575,T,-10.0,5.509181969949917,1.0517529215358932,36.92626953125,20200621_000
119,13.516097499999999,T,-40.0,,,0.0,20200621_000
121,13.631927499999998,T,10.0,3.706176961602671,1.0517529215358932,35.0494384765625,20200621_000
123,13.7536575,T,-20.0,8.564273789649416,1.0517529215358932,5.9967041015625,20200621_000
125,13.872187499999999,T,-5.0,4.808013355592654,1.0517529215358932,36.4837646484375,20200621_000
127,13.991057499999998,T,40.0,2.7545909849749584,1.0517529215358932,35.5987548828125,20200621_000
129,14.1157475,T,-0.0,4.4073455759599325,1.0517529215358932,35.33935546875,20200621_000
131,14.239797499999998,T,5.0,4.006677796327212,1.0517529215358932,34.332275390625,20200621_000
133,14.361827499999999,T,30.0,3.0050083472454086,1.0517529215358932,33.26416015625,20200621_000
135,14.4898575,T,-30.0,,,0.0,20200621_000
137,14.614987499999998,T,20.0,3.2554257095158596,1.0517529215358932,33.0047607421875,20200621_000
139,14.735037499999999,T,-10.0,5.509181969949917,1.0517529215358932,35.552978515625,20200621_000
147,15.230417499999998,T,-40.0,,,0.0,20200621_000
149,15.361727499999999,T,10.0,3.6560934891485806,1.0517529215358932,33.02001953125,20200621_000
151,15.505457499999999,T,-20.0,8.263772954924875,1.0517529215358932,35.614013671875,20200621_000
153,15.643787499999998,T,-5.0,4.808013355592654,1.0517529215358932,35.0341796875,20200621_000
155,15.791137499999998,T,40.0,2.8046744574290483,1.0517529215358932,33.0047607421875,20200621_000
157,15.948887499999998,T,0.0,4.3572621035058425,1.0517529215358932,33.6151123046875,20200621_000
159,16.1041375,T,5.0,4.006677796327212,1.0517529215358932,35.369873046875,20200621_000
161,16.258947499999998,T,30.0,3.0050083472454086,1.0517529215358932,33.2794189453125,20200621_000
163,16.4196375,T,-30.0,,,0.0,20200621_000
165,16.576347499999997,T,20.0,3.30550918196995,1.0517529215358932,33.8897705078125,20200621_000
167,16.7329175,T,-10.0,5.509181969949917,1.0517529215358932,35.33935546875,20200621_000
175,17.407797499999997,T,-40.0,,,0.0,20200621_000
177,17.5409875,T,10.0,3.6560934891485806,1.0517529215358932,33.8287353515625,20200621_000
179,17.6867375,T,-20.0,7.412353923205342,1.0517529215358932,34.2254638671875,20200621_000
181,17.8225475,T,-5.0,4.757929883138564,1.0517529215358932,34.0118408203125,20200621_000
183,17.9627575,T,40.0,2.7545909849749584,1.0517529215358932,32.135009765625,20200621_000
185,18.108507499999998,T,0.0,4.307178631051753,1.0517529215358932,32.623291015625,20200621_000
187,18.250497499999998,T,5.0,4.006677796327212,1.0517529215358932,32.867431640625,20200621_000
