,time,code,ampshift,pspamp,exptname
1048,142.14007249999997,T,-30.0,7.522344589233398,20200719_005
1050,142.4252225,T,10.0,13.04022471110026,20200719_005
1052,142.7350325,T,-10.0,8.16043217976888,20200719_005
1054,143.01070249999998,T,20.0,15.759785970052084,20200719_005
1056,143.2896925,T,-20.0,7.099231084187826,20200719_005
1058,143.5760225,T,-40.0,4.999876022338867,20200719_005
1060,143.8638325,T,-5.0,11.29913330078125,20200719_005
1062,144.14482249999998,T,30.0,15.657901763916016,20200719_005
1064,144.43467249999998,T,40.0,15.17780621846517,20200719_005
1066,144.72218249999997,T,0.0,11.389811833699545,20200719_005
1068,145.0250725,T,5.0,15.048583348592123,20200719_005
1076,146.2146125,T,-30.0,6.358067194620768,20200719_005
1078,146.4847825,T,10.0,15.89361826578776,20200719_005
1080,146.76337249999997,T,-10.0,9.022712707519531,20200719_005
1082,147.0431825,T,20.0,15.996615091959635,20200719_005
1084,147.32859249999998,T,-20.0,6.573120752970377,20200719_005
1086,147.6216825,T,-40.0,5.968809127807617,20200719_005
1088,147.8636525,T,-5.0,9.107271830240885,20200719_005
1090,148.1313825,T,30.0,15.520731608072916,20200719_005
1092,148.4200325,T,40.0,16.130924224853516,20200719_005
1094,148.6213225,T,0.0,11.293729146321615,20200719_005
1096,148.87495249999998,T,5.0,10.707219441731771,20200719_005
1104,149.78871249999997,T,-30.0,5.70837656656901,20200719_005
1106,150.0761825,T,10.0,15.356858571370443,20200719_005
1108,150.36691249999998,T,-10.0,8.875290552775065,20200719_005
1110,150.62378249999998,T,20.0,15.255053838094076,20200719_005
1112,150.9178725,T,-20.0,7.413546244303385,20200719_005
1114,151.18252249999998,T,-40.0,6.075620651245117,20200719_005
1116,151.4470925,T,-5.0,10.465304056803385,20200719_005
1118,151.7267025,T,30.0,15.993595123291016,20200719_005
1120,152.0095725,T,40.0,15.886783599853516,20200719_005
1122,152.1816825,T,0.0,9.64665412902832,20200719_005
1124,152.35141249999998,T,5.0,11.52189572652181,20200719_005
1132,153.09881249999998,T,-30.0,5.743106206258139,20200719_005
1134,153.3236225,T,10.0,15.097459157307943,20200719_005
1136,153.5652725,T,-10.0,8.475224177042643,20200719_005
1138,153.83492249999998,T,20.0,15.766382217407227,20200719_005
1140,154.09889249999998,T,-20.0,8.582353591918945,20200719_005
1142,154.3594225,T,-40.0,5.510171254475912,20200719_005
1144,154.5627925,T,-5.0,8.903821309407553,20200719_005
1146,154.8712425,T,30.0,15.825907389322916,20200719_005
1148,155.15217249999998,T,40.0,15.735149383544922,20200719_005
1150,155.4232825,T,0.0,9.82975959777832,20200719_005
1152,155.7099925,T,5.0,10.939836502075195,20200719_005
1160,156.8178725,T,-30.0,7.404883702596029,20200719_005
1162,157.10240249999998,T,10.0,14.21515146891276,20200719_005
1164,157.3760725,T,-10.0,9.374062220255533,20200719_005
1166,157.6566825,T,20.0,15.842676162719727,20200719_005
1168,157.9405325,T,-20.0,7.99107551574707,20200719_005
1170,158.2116025,T,-40.0,5.522569020589193,20200719_005
1172,158.4985725,T,-5.0,11.568069458007812,20200719_005
1174,158.6748825,T,30.0,16.857385635375977,20200719_005
1176,158.9409725,T,40.0,16.031901041666668,20200719_005
1178,159.1939425,T,0.0,9.140094121297201,20200719_005
1180,159.4371325,T,5.0,11.87284787495931,20200719_005
1188,160.39529249999998,T,-30.0,7.033507029215494,20200719_005
1190,160.67338249999997,T,10.0,15.061219533284506,20200719_005
1192,160.94461249999998,T,-10.0,8.624076843261719,20200719_005
1194,161.14520249999998,T,20.0,15.415430068969727,20200719_005
1196,161.3971925,T,-20.0,8.94316037495931,20200719_005
1198,161.65002249999998,T,-40.0,4.824399948120117,20200719_005
1200,161.9106325,T,-5.0,10.626395543416342,20200719_005
1202,162.1874225,T,30.0,16.085147857666016,20200719_005
1204,162.4675725,T,40.0,15.932559967041016,20200719_005
1206,162.6838225,T,0.0,9.330034255981445,20200719_005
1208,162.92527249999998,T,5.0,10.860761006673178,20200719_005
1216,163.4339125,T,-30.0,5.236625671386719,20200719_005
1218,163.56444249999998,T,10.0,14.52175776163737,20200719_005
1220,163.73841249999998,T,-10.0,8.211851119995117,20200719_005
1222,164.01068249999997,T,20.0,15.958150227864584,20200719_005
1224,164.27817249999998,T,-20.0,7.033507029215494,20200719_005
1226,164.5444225,T,-40.0,3.48051389058431,20200719_005
1228,164.83743249999998,T,-5.0,9.965896606445312,20200719_005
1230,165.0915025,T,30.0,16.766945521036785,20200719_005
1232,165.37997249999998,T,40.0,16.162395477294922,20200719_005
1234,165.65548249999998,T,-0.0,9.90605354309082,20200719_005
1236,165.89351249999999,T,5.0,13.23088010152181,20200719_005
1244,166.93377249999998,T,-30.0,7.899045944213867,20200719_005
1246,167.20180249999999,T,10.0,15.437841415405273,20200719_005
1248,167.47407249999998,T,-10.0,8.650620778401693,20200719_005
1250,167.74610249999998,T,20.0,15.027364095052084,20200719_005
1252,168.0248725,T,-20.0,9.243329366048178,20200719_005
1254,168.3114225,T,-40.0,7.021665573120117,20200719_005
1256,168.5786925,T,-5.0,10.551373163859049,20200719_005
1258,168.8382825,T,30.0,16.771952311197918,20200719_005
1260,169.11553249999997,T,40.0,16.040325164794922,20200719_005
1262,169.37090249999997,T,0.0,10.210355122884115,20200719_005
1264,169.6768325,T,5.0,11.690855026245117,20200719_005
1272,170.67493249999998,T,-30.0,8.160034815470377,20200719_005
1274,170.9537225,T,10.0,15.936692555745443,20200719_005
1276,171.21359249999998,T,-10.0,7.715066274007162,20200719_005
1278,171.48598249999998,T,20.0,16.415913899739582,20200719_005
1280,171.7312125,T,-20.0,7.453203201293945,20200719_005
1282,172.0002825,T,-40.0,5.467017491658529,20200719_005
1284,172.27303249999997,T,-5.0,10.805130004882812,20200719_005
1286,172.57578249999997,T,30.0,15.566349029541016,20200719_005
1288,172.82327249999997,T,40.0,16.069889068603516,20200719_005
1290,173.04518249999998,T,0.0,10.048627853393555,20200719_005
1292,173.2365725,T,5.0,11.46086057027181,20200719_005
1300,173.76471249999997,T,-30.0,7.309039433797201,20200719_005
1302,173.85498249999998,T,10.0,14.743407567342123,20200719_005
1304,173.95553249999998,T,-10.0,7.046778996785482,20200719_005
1306,174.0855825,T,20.0,15.268723169962565,20200719_005
1308,174.2203725,T,-20.0,4.656553268432617,20200719_005
1310,174.3810825,T,-40.0,6.426572799682617,20200719_005
1312,174.58679249999997,T,-5.0,9.563446044921875,20200719_005
1314,174.84434249999998,T,30.0,16.466776529947918,20200719_005
1316,175.12971249999998,T,40.0,16.932169596354168,20200719_005
1318,175.36018249999998,T,0.0,10.322888692220053,20200719_005
1320,175.60787249999998,T,5.0,12.177785237630209,20200719_005
1328,176.6323325,T,-30.0,5.723794301350912,20200719_005
1330,176.91722249999998,T,10.0,15.804052352905273,20200719_005
1332,177.17463249999997,T,-10.0,8.038202921549479,20200719_005
1334,177.49770249999997,T,20.0,16.590356826782227,20200719_005
1336,177.77191249999998,T,-20.0,9.026288986206055,20200719_005
1338,178.06058249999998,T,-40.0,4.870176315307617,20200719_005
1340,178.32607249999998,T,-5.0,9.523391723632812,20200719_005
1342,178.59458249999997,T,30.0,16.497294108072918,20200719_005
1344,178.81283249999998,T,40.0,16.024112701416016,20200719_005
1346,178.92140249999997,T,0.0,6.739139556884766,20200719_005
1348,179.0051725,T,5.0,9.389638900756836,20200719_005
1356,179.40873249999999,T,-30.0,6.533384323120117,20200719_005
1358,179.58718249999998,T,10.0,12.927611668904623,20200719_005
1360,179.8427725,T,-10.0,8.227109909057617,20200719_005
3971,492.09717249999994,T,-10.0,7.064412434895833,20200712_000
3973,492.21726249999995,T,20.0,20.216064453125,20200712_000
3975,492.3343925,T,40.0,20.0006103515625,20200712_000
3977,492.45224249999995,T,30.0,21.240437825520832,20200712_000
3979,492.57305249999996,T,-5.0,10.450642903645834,20200712_000
3981,492.7043025,T,5.0,17.156168619791668,20200712_000
3983,492.84105249999993,T,0.0,12.968343098958334,20200712_000
3985,492.98470249999997,T,-30.0,3.6376953125,20200712_000
3987,493.13479249999995,T,10.0,20.692545572916668,20200712_000
3989,493.29636249999993,T,-40.0,3.779296875,20200712_000
3991,493.46789249999995,T,-20.0,6.797281901041667,20200712_000
3999,494.28733249999993,T,-10.0,8.7451171875,20200712_000
4001,494.4507025,T,20.0,20.6689453125,20200712_000
4003,494.6159125,T,40.0,21.1431884765625,20200712_000
4005,494.80972249999996,T,30.0,20.974934895833332,20200712_000
4007,495.00279249999994,T,-5.0,9.106852213541666,20200712_000
4009,495.20630249999994,T,5.0,18.6669921875,20200712_000
4011,495.47469249999995,T,-0.0,14.889933268229166,20200712_000
4013,495.68134249999997,T,-30.0,3.4775797526041665,20200712_000
4015,495.92493249999995,T,10.0,20.137939453125,20200712_000
4017,496.1543225,T,-40.0,3.5076904296875,20200712_000
4019,496.4239525,T,-20.0,6.937662760416667,20200712_000
4027,497.4921525,T,-10.0,9.130045572916666,20200712_000
4029,497.69204249999996,T,20.0,21.42822265625,20200712_000
4031,497.93849249999994,T,40.0,20.892333984375,20200712_000
4033,498.2265025,T,30.0,21.102498372395832,20200712_000
4035,498.49471249999993,T,-5.0,10.732218424479166,20200712_000
4037,498.70324249999993,T,5.0,20.0555419921875,20200712_000
4039,498.88503249999997,T,-0.0,12.006022135416666,20200712_000
4041,499.05240249999997,T,-30.0,3.5760498046875,20200712_000
4043,499.21659249999993,T,10.0,20.32470703125,20200712_000
4045,499.39396249999993,T,-40.0,3.0716959635416665,20200712_000
4047,499.58091249999995,T,-20.0,5.7708740234375,20200712_000
4055,500.5507325,T,-10.0,8.677775065104166,20200712_000
4057,500.7261225,T,20.0,21.359659830729168,20200712_000
4059,500.90293249999996,T,40.0,20.7464599609375,20200712_000
4061,501.0963025,T,30.0,20.756632486979168,20200712_000
4063,501.31763249999995,T,-5.0,10.505167643229166,20200712_000
4065,501.49532249999993,T,5.0,18.660481770833332,20200712_000
4067,501.66613249999995,T,0.0,12.976481119791666,20200712_000
4069,501.81770249999994,T,-30.0,3.365478515625,20200712_000
4071,501.97259249999996,T,10.0,20.093587239583332,20200712_000
4073,502.13870249999997,T,-40.0,3.8240559895833335,20200712_000
4075,502.30291249999993,T,-20.0,6.77978515625,20200712_000
4083,503.19235249999997,T,-10.0,9.0838623046875,20200712_000
4085,503.40482249999997,T,20.0,21.2689208984375,20200712_000
4087,503.65305249999994,T,40.0,20.961507161458332,20200712_000
4089,503.90670249999994,T,30.0,19.850260416666668,20200712_000
4091,504.17381249999994,T,-5.0,10.6353759765625,20200712_000
4093,504.44670249999996,T,5.0,18.9569091796875,20200712_000
4095,504.6669525,T,-0.0,14.506632486979166,20200712_000
4097,504.84644249999997,T,-30.0,3.9117431640625,20200712_000
4099,505.02735249999995,T,10.0,19.868570963541668,20200712_000
4101,505.21150249999994,T,-40.0,3.658447265625,20200712_000
4103,505.41191249999997,T,-20.0,6.816202799479167,20200712_000
4111,506.4178525,T,-10.0,9.394938151041666,20200712_000
4113,506.60390249999995,T,20.0,20.97900390625,20200712_000
4115,506.80409249999997,T,40.0,20.6329345703125,20200712_000
4117,507.09514249999995,T,30.0,20.765787760416668,20200712_000
4119,507.36761249999995,T,-5.0,10.603230794270834,20200712_000
4121,507.55150249999997,T,5.0,18.224283854166668,20200712_000
4123,507.69903249999993,T,-0.0,13.366292317708334,20200712_000
4125,507.81650249999996,T,-30.0,3.4535725911458335,20200712_000
4127,507.94359249999997,T,10.0,20.480753580729168,20200712_000
4129,508.06972249999995,T,-40.0,3.5137939453125,20200712_000
4131,508.1997125,T,-20.0,7.3291015625,20200712_000
4139,508.78285249999993,T,-10.0,8.785400390625,20200712_000
4141,508.93914249999995,T,20.0,20.2679443359375,20200712_000
4143,509.09373249999993,T,40.0,20.4583740234375,20200712_000
4145,509.25420249999996,T,30.0,20.981038411458332,20200712_000
4147,509.43489249999993,T,-5.0,9.345499674479166,20200712_000
4149,509.61380249999996,T,5.0,17.250569661458332,20200712_000
4151,509.7922925,T,-0.0,12.629191080729166,20200712_000
4153,509.9600225,T,-30.0,3.1781005859375,20200712_000
4155,510.13697249999996,T,10.0,20.053507486979168,20200712_000
4157,510.31726249999997,T,-40.0,4.368693033854167,20200712_000
4159,510.52651249999997,T,-20.0,6.9390869140625,20200712_000
4167,511.4201525,T,-10.0,8.3111572265625,20200712_000
4169,511.58254249999993,T,20.0,20.1348876953125,20200712_000
4171,511.75479249999995,T,40.0,20.602823893229168,20200712_000
4173,511.95970249999993,T,30.0,20.124918619791668,20200712_000
4175,512.1683125,T,-5.0,10.4559326171875,20200712_000
4177,512.3974225,T,5.0,17.801513671875,20200712_000
4179,512.5916325,T,0.0,14.1204833984375,20200712_000
4181,512.7664424999999,T,-30.0,2.9042561848958335,20200712_000
4183,512.9450125,T,10.0,19.593912760416668,20200712_000
4185,513.1218624999999,T,-40.0,3.583984375,20200712_000
4187,513.3761925,T,-20.0,6.827799479166667,20200712_000
4195,514.4229525,T,-10.0,8.245035807291666,20200712_000
4197,514.6636225,T,20.0,20.24169921875,20200712_000
4199,514.8758925,T,40.0,20.0140380859375,20200712_000
4201,515.1500024999999,T,30.0,22.531331380208332,20200712_000
4203,515.4258524999999,T,-5.0,9.923502604166666,20200712_000
4205,515.6875425,T,5.0,17.746175130208332,20200712_000
4207,515.9401325,T,0.0,13.194376627604166,20200712_000
4209,516.1451424999999,T,-30.0,4.087931315104167,20200712_000
4211,516.4153924999999,T,10.0,19.024658203125,20200712_000
4213,516.7082425,T,-40.0,3.681640625,20200712_000
4215,516.9884925,T,-20.0,7.151896158854167,20200712_000
4223,518.0127524999999,T,-10.0,8.987630208333334,20200712_000
4225,518.2158425,T,20.0,19.4635009765625,20200712_000
4227,518.4478325,T,40.0,20.419718424479168,20200712_000
4229,518.7226224999999,T,30.0,20.748291015625,20200712_000
4231,518.9603924999999,T,-5.0,9.519856770833334,20200712_000
4233,519.1546424999999,T,5.0,17.541707356770832,20200712_000
4235,519.3397924999999,T,0.0,13.591105143229166,20200712_000
4237,519.4983625,T,-30.0,2.8932698567708335,20200712_000
4239,519.6648925,T,10.0,19.5892333984375,20200712_000
4241,519.8235225,T,-40.0,3.2635498046875,20200712_000
4243,519.9957125,T,-20.0,6.124064127604167,20200712_000
4251,520.8390724999999,T,-10.0,8.199259440104166,20200712_000
4253,521.0141024999999,T,20.0,21.741129557291668,20200712_000
4255,521.1868525,T,40.0,20.0750732421875,20200712_000
4257,521.3798425,T,30.0,19.6893310546875,20200712_000
4259,521.6439124999999,T,-5.0,9.6185302734375,20200712_000
4261,521.9142025,T,5.0,19.311116536458332,20200712_000
4263,522.1686924999999,T,-0.0,13.456624348958334,20200712_000
4265,522.3551024999999,T,-30.0,3.5740152994791665,20200712_000
4267,522.6263524999999,T,10.0,20.0604248046875,20200712_000
4269,522.8779625,T,-40.0,3.3416748046875,20200712_000
4271,523.1603325,T,-20.0,6.601969401041667,20200712_000
4279,524.1912725,T,-10.0,7.949422200520833,20200712_000
4281,524.3810625,T,20.0,19.71435546875,20200712_000
4283,524.5752924999999,T,40.0,19.72412109375,20200712_000
4285,524.8054424999999,T,30.0,19.754231770833332,20200712_000
4287,525.0893725,T,-5.0,9.104410807291666,20200712_000
4289,525.3015224999999,T,5.0,18.483683268229168,20200712_000
4291,525.5394325,T,-0.0,13.118896484375,20200712_000
4293,525.7379625,T,-30.0,3.1009928385416665,20200712_000
4295,525.9598524999999,T,10.0,19.451904296875,20200712_000
4297,526.2103024999999,T,-40.0,3.5076904296875,20200712_000
4299,526.4935925,T,-20.0,6.547648111979167,20200712_000
4307,527.4412325,T,-10.0,7.870890299479167,20200712_000
4309,527.6201424999999,T,20.0,19.0472412109375,20200712_000
4311,527.8096125,T,40.0,20.281982421875,20200712_000
197,39.53917499999999,T,30.0,22.54346931505503,20200614_002_ampshift
199,39.767224999999996,T,-40.0,3.1146163460593552,20200614_002_ampshift
201,40.085294999999995,T,10.0,19.120030433126967,20200614_002_ampshift
203,40.420964999999995,T,-10.0,8.879271693199685,20200614_002_ampshift
205,40.847314999999995,T,0.0,16.503963830336083,20200614_002_ampshift
207,41.277964999999995,T,40.0,19.82644518966195,20200614_002_ampshift
209,41.732074999999995,T,-5.0,11.15100788620283,20200614_002_ampshift
211,42.144864999999996,T,-20.0,5.739032097582547,20200614_002_ampshift
213,42.297115,T,5.0,16.59273351513365,20200614_002_ampshift
215,42.383824999999995,T,-30.0,2.207726052722091,20200614_002_ampshift
217,42.485555,T,20.0,23.006319249950863,20200614_002_ampshift
225,43.343394999999994,T,30.0,24.237002966538917,20200614_002_ampshift
227,43.703185,T,-40.0,2.1196281385121853,20200614_002_ampshift
229,44.075374999999994,T,10.0,20.37585756313876,20200614_002_ampshift
231,44.478624999999994,T,-10.0,8.752498986586085,20200614_002_ampshift
233,44.916554999999995,T,0.0,13.47830910352791,20200614_002_ampshift
235,45.366764999999994,T,40.0,18.97291267443003,20200614_002_ampshift
237,45.78485499999999,T,-5.0,10.374633021324685,20200614_002_ampshift
239,46.231624999999994,T,-20.0,5.847571031102595,20200614_002_ampshift
241,46.635115,T,5.0,15.14621950545401,20200614_002_ampshift
243,47.046265,T,-30.0,3.8011658866450473,20200614_002_ampshift
245,47.48401499999999,T,20.0,23.451031378979952,20200614_002_ampshift
253,49.235994999999996,T,30.0,21.107799602004718,20200614_002_ampshift
255,49.679325,T,-40.0,1.8685778731819966,20200614_002_ampshift
257,50.126315,T,10.0,20.02202639789701,20200614_002_ampshift
259,50.522225,T,-10.0,8.480815767492139,20200614_002_ampshift
261,50.91831499999999,T,0.0,15.922978239239386,20200614_002_ampshift
263,51.338044999999994,T,40.0,18.605358195754718,20200614_002_ampshift
265,51.779014999999994,T,-5.0,10.76637124115566,20200614_002_ampshift
267,52.169385,T,-20.0,5.770701282429245,20200614_002_ampshift
269,52.56451499999999,T,5.0,15.747358214180425,20200614_002_ampshift
271,52.94412499999999,T,-30.0,4.274476249262972,20200614_002_ampshift
273,53.32803499999999,T,20.0,22.43032395464819,20200614_002_ampshift
281,55.078574999999994,T,30.0,22.48243415880503,20200614_002_ampshift
283,55.501225,T,-40.0,2.450427169319968,20200614_002_ampshift
285,55.95921499999999,T,10.0,20.60186038227201,20200614_002_ampshift
287,56.384125,T,-10.0,8.1834133316136,20200614_002_ampshift
289,56.839014999999996,T,0.0,14.40909523634041,20200614_002_ampshift
291,57.260785,T,40.0,20.43401370258451,20200614_002_ampshift
293,57.737615,T,-5.0,11.7293063949489,20200614_002_ampshift
295,58.155024999999995,T,-20.0,6.255911581171383,20200614_002_ampshift
297,58.595654999999994,T,5.0,16.452333462313288,20200614_002_ampshift
299,59.04606499999999,T,-30.0,3.843199531987028,20200614_002_ampshift
301,59.513254999999994,T,20.0,21.853560921531052,20200614_002_ampshift
309,61.255354999999994,T,30.0,21.48543063949489,20200614_002_ampshift
311,61.69336499999999,T,-40.0,3.8841775378341197,20200614_002_ampshift
313,62.085274999999996,T,10.0,18.158726722189467,20200614_002_ampshift
315,62.460764999999995,T,-10.0,9.738562242040095,20200614_002_ampshift
317,62.882715,T,-0.0,13.544910358932784,20200614_002_ampshift
319,63.295024999999995,T,40.0,22.92493904161753,20200614_002_ampshift
321,63.723555,T,-5.0,10.998132093897405,20200614_002_ampshift
323,64.183325,T,-20.0,7.440339094437893,20200614_002_ampshift
325,64.614515,T,5.0,18.16784360873624,20200614_002_ampshift
327,65.013785,T,-30.0,4.37245878783412,20200614_002_ampshift
329,65.457715,T,20.0,22.733772325815643,20200614_002_ampshift
337,67.171235,T,30.0,23.30007493121069,20200614_002_ampshift
339,67.647745,T,-40.0,4.659400795990566,20200614_002_ampshift
341,68.05745499999999,T,10.0,17.375730118661558,20200614_002_ampshift
343,68.498825,T,-10.0,9.303542802918631,20200614_002_ampshift
345,68.86091499999999,T,0.0,13.182730044958726,20200614_002_ampshift
347,69.23846499999999,T,40.0,20.559058999115567,20200614_002_ampshift
349,69.616315,T,-5.0,11.01051186615566,20200614_002_ampshift
351,70.02974499999999,T,-20.0,6.357540874361242,20200614_002_ampshift
353,70.483515,T,5.0,17.42697661777712,20200614_002_ampshift
355,70.93732499999999,T,-30.0,4.625428397700472,20200614_002_ampshift
357,71.322755,T,20.0,22.89384566013168,20200614_002_ampshift
365,73.034015,T,30.0,21.44118974793632,20200614_002_ampshift
367,73.47422499999999,T,-40.0,4.163250233392295,20200614_002_ampshift
369,73.952135,T,10.0,18.23319729019261,20200614_002_ampshift
371,74.360565,T,-10.0,9.080706902270046,20200614_002_ampshift
373,74.765335,T,0.0,13.72244972852791,20200614_002_ampshift
375,75.090465,T,40.0,20.28516853380503,20200614_002_ampshift
377,75.459115,T,-5.0,10.003719689711085,20200614_002_ampshift
379,75.82438499999999,T,-20.0,5.892771594929245,20200614_002_ampshift
381,76.234855,T,5.0,18.556031041175313,20200614_002_ampshift
383,76.71204499999999,T,-30.0,5.932597994054638,20200614_002_ampshift
385,77.148815,T,20.0,23.187313439711083,20200614_002_ampshift
393,78.384515,T,30.0,19.450925431161558,20200614_002_ampshift
395,78.711045,T,-40.0,4.1081650452044025,20200614_002_ampshift
397,78.979895,T,10.0,17.92802150894261,20200614_002_ampshift
399,79.33274499999999,T,-10.0,9.685876234522405,20200614_002_ampshift
401,79.67601499999999,T,-0.0,13.77551960495283,20200614_002_ampshift
403,79.981625,T,40.0,20.677386589770048,20200614_002_ampshift
405,80.360435,T,-5.0,10.972796746020046,20200614_002_ampshift
407,80.727925,T,-20.0,7.388132923054245,20200614_002_ampshift
409,81.132735,T,5.0,18.143947769261008,20200614_002_ampshift
411,81.528725,T,-30.0,5.449403007075472,20200614_002_ampshift
