,time,code,ampshift,fsl,onset,spkamp,pspamp,exptname,nspk
429,85.77906499999999,T,30.0,5.105105105105106,2.052052052052052,11.993408203125,11.566162109375,20200614_002_ampshift,0
431,86.223215,T,-40.0,,,0.0,-0.0457763671875,20200614_002_ampshift,0
433,86.59742499999999,T,10.0,6.056056056056057,3.7037037037037037,10.1318359375,10.0555419921875,20200614_002_ampshift,0
435,86.968335,T,-10.0,7.457457457457458,5.305305305305306,4.33349609375,4.364013671875,20200614_002_ampshift,0
437,87.26872499999999,T,0.0,6.606606606606607,4.104104104104104,7.904052734375,7.87353515625,20200614_002_ampshift,0
439,87.62855499999999,T,40.0,5.055055055055055,2.8528528528528527,13.1378173828125,12.939453125,20200614_002_ampshift,0
441,87.958445,T,-5.0,7.007007007007007,4.404404404404405,5.5694580078125,5.55419921875,20200614_002_ampshift,0
443,88.251335,T,-20.0,11.211211211211213,8.65865865865866,1.4190673828125,2.0751953125,20200614_002_ampshift,0
445,88.54714499999999,T,5.0,6.406406406406407,4.104104104104104,8.6669921875,8.6822509765625,20200614_002_ampshift,0
447,88.847195,T,-30.0,,,0.0,-0.3509521484375,20200614_002_ampshift,0
449,89.185425,T,20.0,5.655655655655655,3.2032032032032034,11.16943359375,10.711669921875,20200614_002_ampshift,0
457,90.681125,T,30.0,5.405405405405405,2.052052052052052,12.87841796875,12.5732421875,20200614_002_ampshift,0
459,91.12295499999999,T,-40.0,,,0.0,0.0762939453125,20200614_002_ampshift,0
461,91.53408499999999,T,10.0,5.9559559559559565,3.7537537537537538,9.6893310546875,9.4146728515625,20200614_002_ampshift,0
463,91.94431499999999,T,-10.0,7.5575575575575575,5.455455455455456,4.486083984375,4.7454833984375,20200614_002_ampshift,0
465,92.307065,T,0.0,6.606606606606607,4.2542542542542545,7.843017578125,7.781982421875,20200614_002_ampshift,0
467,92.606715,T,40.0,5.155155155155155,2.052052052052052,13.458251953125,13.1072998046875,20200614_002_ampshift,0
469,92.912325,T,-5.0,7.6076076076076085,4.904904904904905,4.638671875,4.8828125,20200614_002_ampshift,0
471,93.220615,T,-20.0,11.161161161161163,7.857857857857859,2.25830078125,2.410888671875,20200614_002_ampshift,0
473,93.521525,T,5.0,6.206206206206207,3.8038038038038042,8.72802734375,8.758544921875,20200614_002_ampshift,0
475,93.86229499999999,T,-30.0,,,0.0,-0.06103515625,20200614_002_ampshift,0
477,94.18692499999999,T,20.0,5.405405405405405,2.052052052052052,11.23046875,11.0626220703125,20200614_002_ampshift,0
485,95.620325,T,30.0,5.405405405405405,3.1531531531531534,11.9476318359375,11.6729736328125,20200614_002_ampshift,0
487,95.99073499999999,T,-40.0,,,0.0,-0.1678466796875,20200614_002_ampshift,0
489,96.358685,T,10.0,6.056056056056057,3.7037037037037037,9.979248046875,9.8724365234375,20200614_002_ampshift,0
491,96.750255,T,-10.0,7.707707707707708,4.904904904904905,5.4473876953125,5.2947998046875,20200614_002_ampshift,0
493,97.14234499999999,T,0.0,6.506506506506507,4.454454454454455,7.2479248046875,7.3394775390625,20200614_002_ampshift,0
495,97.53301499999999,T,40.0,5.055055055055055,2.052052052052052,12.8326416015625,12.8021240234375,20200614_002_ampshift,0
497,97.89722499999999,T,-5.0,7.107107107107107,4.604604604604605,5.828857421875,5.9356689453125,20200614_002_ampshift,0
499,98.30681499999999,T,-20.0,10.66066066066066,8.458458458458459,1.28173828125,2.25830078125,20200614_002_ampshift,0
501,98.678845,T,5.0,6.306306306306307,3.8038038038038042,9.063720703125,9.185791015625,20200614_002_ampshift,0
503,99.129235,T,-30.0,,,0.0,0.2593994140625,20200614_002_ampshift,0
505,99.47324499999999,T,20.0,5.405405405405405,3.3533533533533535,11.5203857421875,11.4593505859375,20200614_002_ampshift,0
513,101.12012499999999,T,30.0,5.305305305305306,3.1031031031031033,12.1307373046875,11.8560791015625,20200614_002_ampshift,0
515,101.505715,T,-40.0,,,0.0,0.1373291015625,20200614_002_ampshift,0
517,101.90792499999999,T,10.0,6.006006006006006,3.653653653653654,10.4827880859375,10.1318359375,20200614_002_ampshift,0
519,102.28453499999999,T,-10.0,7.5575575575575575,5.755755755755756,3.814697265625,3.9520263671875,20200614_002_ampshift,0
521,102.642445,T,0.0,6.556556556556557,4.454454454454455,7.8887939453125,7.8125,20200614_002_ampshift,0
523,103.03125499999999,T,40.0,5.255255255255256,2.052052052052052,12.8021240234375,12.7105712890625,20200614_002_ampshift,0
525,103.384025,T,-5.0,7.7577577577577586,4.904904904904905,4.8675537109375,5.2032470703125,20200614_002_ampshift,0
527,103.65671499999999,T,-20.0,10.81081081081081,8.508508508508509,1.068115234375,2.044677734375,20200614_002_ampshift,0
529,104.012125,T,5.0,6.506506506506507,4.004004004004004,9.46044921875,9.2620849609375,20200614_002_ampshift,0
531,104.329275,T,-30.0,,,0.0,-0.1220703125,20200614_002_ampshift,0
533,104.68532499999999,T,20.0,5.405405405405405,3.2532532532532534,11.3372802734375,11.04736328125,20200614_002_ampshift,0
541,106.131525,T,30.0,5.355355355355355,2.052052052052052,12.054443359375,11.9171142578125,20200614_002_ampshift,0
543,106.482935,T,-40.0,,,0.0,-0.3509521484375,20200614_002_ampshift,0
