,time,code,ampshift,pspamp,exptname
1569,207.31010249999997,T,-30.0,0.6256103515625,20200719_005
1571,207.56887249999997,T,10.0,6.256103515625,20200719_005
1573,207.84594249999998,T,-10.0,4.913330078125,20200719_005
1575,207.99997249999998,T,20.0,5.2947998046875,20200719_005
1577,208.1397825,T,-20.0,2.197265625,20200719_005
1579,208.35561249999998,T,-40.0,0.152587890625,20200719_005
1581,208.47020249999997,T,-5.0,5.2337646484375,20200719_005
1583,208.60365249999998,T,30.0,9.70458984375,20200719_005
1585,208.80350249999998,T,40.0,10.55908203125,20200719_005
1587,209.0137725,T,0.0,4.7149658203125,20200719_005
1589,209.21684249999998,T,5.0,5.1727294921875,20200719_005
1597,210.29442249999997,T,-30.0,1.068115234375,20200719_005
1599,210.58751249999997,T,10.0,6.561279296875,20200719_005
1601,210.8787425,T,-10.0,4.0130615234375,20200719_005
1603,211.15747249999998,T,20.0,6.7901611328125,20200719_005
1605,211.4431225,T,-20.0,2.9144287109375,20200719_005
1607,211.74017249999997,T,-40.0,1.1138916015625,20200719_005
1609,212.05634249999997,T,-5.0,4.8675537109375,20200719_005
1611,212.35187249999998,T,30.0,10.1776123046875,20200719_005
1613,212.63920249999998,T,40.0,10.3912353515625,20200719_005
1615,212.8843925,T,0.0,5.218505859375,20200719_005
1617,213.13462249999998,T,5.0,5.950927734375,20200719_005
1625,214.29838249999997,T,-30.0,0.9307861328125,20200719_005
1627,214.58741249999997,T,10.0,5.7830810546875,20200719_005
1629,214.84190249999997,T,-10.0,4.08935546875,20200719_005
1631,215.13683249999997,T,20.0,6.7901611328125,20200719_005
1633,215.4143025,T,-20.0,2.777099609375,20200719_005
1635,215.72521249999997,T,-40.0,0.274658203125,20200719_005
1637,216.01554249999998,T,-5.0,4.1961669921875,20200719_005
1639,216.30681249999998,T,30.0,10.8642578125,20200719_005
1641,216.5561225,T,40.0,10.3912353515625,20200719_005
1643,216.8330925,T,0.0,5.1727294921875,20200719_005
1645,217.12048249999998,T,5.0,4.9285888671875,20200719_005
1653,218.3176825,T,-30.0,1.0223388671875,20200719_005
