,offset_2_hat,offset_3_hat,offset_4_hat,p_1,p_2,p_3,p_4,fsl_empirical
0,,,,1.0,0.0,0.0,0.0,4.843489148580967
1,0.8590209873598854,3.5568208919627953,,0.8571428571428571,0.07142857142857142,0.0,0.0,6.615191986644407
2,1.230526069890697,2.9605101639988214,,1.0,1.0,0.0,0.0,2.7884709810468435
3,1.9392376455312228,,,0.8823529411764706,0.0,0.0,0.0,6.562604340567612
4,1.4789223285307442,3.1682215457134437,,1.0,1.0,0.0,0.0,4.095060394775606
5,1.6721145887403375,3.477527905987103,,1.0,0.17647058823529413,0.0,0.0,4.891976824118629
6,1.5896202665818702,,,0.0,0.0,0.0,0.0,
7,,,,1.0,0.0,0.0,0.0,3.2533388981636056
8,,,,1.0,0.0,0.0,0.0,5.157206455203116
9,1.922927100723428,,,0.3125,0.0,0.0,0.0,6.85642737896494
10,1.3481173316192459,2.881854652452707,,1.0,1.0,1.0,0.0,2.153589315525877
11,1.8352015263534458,,,1.0,1.0,0.0,0.0,3.3472454090150254
12,1.5605554712399454,3.941725792988314,,1.0,1.0,0.6666666666666666,0.0,2.4123539232053415
13,2.036185850877003,4.200182121718014,,1.0,1.0,0.0,0.0,3.5126726362118674
14,1.1247050869907147,,,1.0,1.0,0.0,0.0,1.7597511003187127
15,1.113085088337961,,,1.0,1.0,0.0,0.0,1.7809093587351466
16,1.3811937314343288,2.9178021375495105,,1.0,1.0,1.0,0.0,2.313578185865331
17,2.054581710257837,4.093280467445743,,1.0,0.375,0.0,0.0,3.8752086811352253
18,2.038553839732888,3.347245409015025,6.431142678273312,1.0,1.0,0.0,0.0,4.125626043405676
19,1.1387160418879951,2.8657611170132036,,1.0,1.0,0.0,0.0,1.8781302170283802
20,2.273984360099179,,,0.3333333333333333,0.0,0.0,0.0,8.965287049399201
21,1.5991480704431305,4.026183058893339,,1.0,1.0,0.0,0.0,4.152202937249665
22,1.1308797404804207,3.2351999635878137,,1.0,1.0,1.0,0.0,2.956669498725573
23,0.986915887850467,2.8392424467190818,,1.0,1.0,0.8,0.0,3.102136181575434
24,1.4647140631953717,3.525772458516116,,1.0,1.0,0.0,0.0,3.5246995994659542
25,2.005444063776743,3.381522957526256,6.391266787088667,1.0,0.7647058823529411,0.0,0.0,4.877091023325217
26,1.4008071367884452,3.205656784803981,6.278674596431605,1.0,1.0,1.0,1.0,3.2176234979973297
27,,,,0.0,0.0,0.0,0.0,
28,1.7816803356856756,3.889185580774366,,1.0,0.7,0.0,0.0,4.403871829105475
29,,,,0.0,0.0,0.0,0.0,
30,2.2910547396528695,,,1.0,0.0,0.0,0.0,6.626835781041389
31,1.874203483432455,5.775882995509163,,1.0,1.0,0.0,0.0,3.278917344337905
32,3.6408544726301733,,,1.0,0.0,0.0,0.0,6.81909212283044
33,1.6513023580780586,,,1.0,1.0,0.0,0.0,4.27801170791825
34,1.5047359849763053,3.2550543581918747,,1.0,1.0,0.0,0.0,4.3812262503851285
35,2.2500834445927906,,,1.0,0.0,0.0,0.0,5.997997329773031
36,1.5440408130661798,3.3138094382253267,,1.0,1.0,0.0,0.0,3.8401201602136177
37,,,,0.0,0.0,0.0,0.0,
38,1.4138716942455256,4.143836804050422,,1.0,1.0,0.0,0.0,3.4682607112513653
39,1.6962909610474786,3.937319476077034,,1.0,1.0,0.0,0.0,3.9174454828660448
40,2.307134894091416,4.816053511705688,,1.0,0.0,0.0,0.0,6.555183946488293
41,2.147309212526604,,,1.0,0.0,0.0,0.0,6.57190635451505
42,1.9169055582099055,,,1.0,1.0,0.0,0.0,5.142140468227424
43,3.0083612040133776,,,1.0,0.0,0.0,0.0,6.40133779264214
44,2.487577639751553,5.086150262780697,,1.0,0.0,0.0,0.0,5.224558050645007
45,1.2784526854219953,3.5432182906607457,,1.0,1.0,1.0,0.0,2.8563963210702346
46,1.3024924680063015,3.329267200191113,,1.0,0.8,0.0,0.0,2.9749163879598663
