,Unnamed: 0,exptname,current_inj,onset_peak,offset_peak
0,0.0,20181213_002,19.09383201599121,21.209716796875,23.1170654296875
1,1.0,20181213_002,19.33797264099121,23.101806640625,24.200439453125
2,2.0,20181213_002,19.05314064025879,21.5911865234375,23.4832763671875
3,3.0,20181213_002,18.585205078125,21.6522216796875,23.4832763671875
4,4.0,20181213_002,20.233154296875,20.99609375,23.0560302734375
5,5.0,20181213_002,0.335693359375,0.1983642578125,0.244140625
6,6.0,20181213_002,-0.3153483867645264,-4.94384765625,-1.251220703125
7,7.0,20181213_002,-0.6917316913604736,-5.3558349609375,-2.0294189453125
8,8.0,20181213_002,0.4069011211395264,0.5340576171875,0.762939453125
9,9.0,20181213_002,-0.13224291801452634,-4.0283203125,-0.7171630859375
10,10.0,20181213_002,28.02530860900879,32.6385498046875,35.2630615234375
11,11.0,20181213_002,28.076171875,30.70831298828125,32.47833251953125
12,12.0,20181213_002,28.961181640625,32.00531005859375,34.62982177734375
13,13.0,20181213_002,28.656005859375,33.7371826171875,36.3311767578125
14,14.0,20181213_002,28.69669532775879,33.26416015625,34.912109375
15,15.0,20181213_002,28.13720703125,32.6995849609375,34.8358154296875
16,16.0,20181213_002,27.66927146911621,32.64617919921875,34.58404541015625
17,17.0,20181213_002,-0.152587890625,-4.08935546875,-0.8544921875
18,18.0,20181213_002,0.5391438007354736,-0.5340576171875,0.9918212890625
19,19.0,20181213_002,-0.732421875,-3.7841796875,-0.762939453125
20,20.0,20181213_002,37.42472457885742,38.39111328125,44.952392578125
21,21.0,20181213_002,37.872314453125,42.3583984375,43.6248779296875
22,22.0,20181213_002,37.78076171875,42.8466796875,42.1600341796875
23,23.0,20181213_002,38.50300979614258,41.259765625,44.3878173828125
24,24.0,20181213_002,38.02490234375,42.7398681640625,45.623779296875
25,25.0,20181213_002,38.421630859375,43.701171875,45.2117919921875
26,26.0,20181213_002,37.445068359375,43.426513671875,45.654296875
27,27.0,20181213_002,37.77058792114258,44.7998046875,46.7071533203125
28,28.0,20181213_002,38.00455856323242,42.9840087890625,46.5545654296875
29,29.0,20181213_002,38.65559768676758,43.7774658203125,46.5850830078125
30,0.0,20190107_003,-20.61971092224121,-5.9814453125,-5.9356689453125
31,1.0,20190107_003,-22.247314453125,-6.16455078125,-6.072998046875
32,2.0,20190107_003,-21.06730079650879,-6.2103271484375,-6.134033203125
33,3.0,20190107_003,-21.209716796875,-6.378173828125,-6.4849853515625
34,4.0,20190107_003,-20.60953712463379,-6.2255859375,-6.2713623046875
35,5.0,20190107_003,-21.21988868713379,-6.2103271484375,-6.072998046875
36,6.0,20190107_003,-21.29109764099121,-6.5765380859375,-6.744384765625
37,7.0,20190107_003,-21.31144142150879,-6.04248046875,-6.317138671875
38,8.0,20190107_003,-20.54850196838379,-8.1024169921875,-8.5906982421875
39,9.0,20190107_003,-21.43351173400879,-6.0272216796875,-6.072998046875
40,10.0,20190107_003,-21.70816993713379,-6.6375732421875,-6.9580078125
41,11.0,20190107_003,-20.82316017150879,-7.75146484375,-8.2244873046875
42,12.0,20190107_003,-21.19954490661621,-8.056640625,-8.48388671875
43,13.0,20190107_003,-21.01643943786621,-6.47735595703125,-6.79779052734375
44,14.0,20190107_003,-20.32470703125,-6.317138671875,-6.34765625
