,time,code,ampshift,peakAmp,peakT,exptname
741,71.96193,T,30.0,43.548583984375,4.252126063031516,20200719_001
743,72.18303999999999,T,-40.0,3.448486328125,5.5027513756878434,20200719_001
745,72.38659,T,20.0,44.2047119140625,4.602301150575288,20200719_001
747,72.55323999999999,T,10.0,41.1834716796875,5.002501250625313,20200719_001
749,72.77602999999999,T,-5.0,39.4134521484375,6.103051525762882,20200719_001
751,72.93881999999999,T,-20.0,6.1187744140625,6.053026513256628,20200719_001
759,73.78877999999999,T,40.0,45.989990234375,4.15207603801901,20200719_001
761,74.01549,T,5.0,41.19873046875,5.152576288144073,20200719_001
763,74.261,T,-10.0,37.5213623046875,6.753376688344173,20200719_001
603,107.39693749999999,T,10.0,49.1943359375,5.98119623924785,20200606_005
607,108.33223749999999,T,-20.0,6.988525390625,9.101820364072815,20200606_005
611,109.41823749999999,T,5.0,50.8880615234375,6.261252250450091,20200606_005
615,110.08579749999998,T,-40.0,3.5552978515625,6.9813962792558515,20200606_005
619,110.81347749999999,T,-5.0,27.8167724609375,7.821564312862574,20200606_005
623,111.5667575,T,-10.0,21.6064453125,7.461492298459693,20200606_005
627,112.21813749999998,T,20.0,49.1485595703125,5.62112422484497,20200606_005
631,113.57753749999999,T,40.0,47.5616455078125,5.1410282056411285,20200606_005
635,114.34493749999999,T,-0.0,44.2657470703125,6.941388277655532,20200606_005
639,114.7497775,T,-30.0,4.241943359375,10.842168433686739,20200606_005
643,115.97853749999999,T,30.0,45.2423095703125,5.321064212842569,20200606_005
330,54.41086249999999,T,40.0,38.9251708984375,4.102051025512757,20200607_005
332,54.78145249999999,T,10.0,18.5699462890625,4.352176088044022,20200607_005
334,55.199262499999996,T,-40.0,2.6702880859375,3.501750875437719,20200607_005
336,55.657152499999995,T,-30.0,5.0506591796875,8.30415207603802,20200607_005
338,56.140362499999995,T,20.0,24.169921875,4.15207603801901,20200607_005
340,56.589552499999996,T,-5.0,8.9874267578125,3.9519759879939973,20200607_005
342,56.989082499999995,T,30.0,28.2440185546875,3.9519759879939973,20200607_005
344,57.3543725,T,0.0,12.02392578125,3.851925962981491,20200607_005
346,57.7373225,T,-10.0,8.6212158203125,4.352176088044022,20200607_005
348,58.090492499999996,T,5.0,14.0838623046875,4.552276138069034,20200607_005
350,58.380002499999996,T,-20.0,4.69970703125,6.753376688344173,20200607_005
358,59.88066249999999,T,40.0,47.4700927734375,4.102051025512757,20200607_005
360,60.307092499999996,T,10.0,15.4876708984375,4.552276138069034,20200607_005
362,60.7135025,T,-40.0,2.777099609375,3.7018509254627316,20200607_005
364,61.202952499999995,T,-30.0,3.0364990234375,8.854427213606805,20200607_005
366,61.6780025,T,20.0,25.1922607421875,4.302151075537769,20200607_005
368,62.0232925,T,-5.0,9.6282958984375,4.00200100050025,20200607_005
370,62.423922499999996,T,30.0,33.233642578125,4.052026013006503,20200607_005
372,62.7503725,T,-0.0,12.451171875,3.9019509754877437,20200607_005
374,63.046482499999996,T,-10.0,8.941650390625,4.502251125562782,20200607_005
376,63.420512499999994,T,5.0,15.13671875,4.502251125562782,20200607_005
378,63.871382499999996,T,-20.0,5.3558349609375,6.203101550775388,20200607_005
386,65.5876825,T,40.0,30.9600830078125,3.7018509254627316,20200607_005
388,65.88135249999999,T,10.0,15.9759521484375,4.352176088044022,20200607_005
390,66.14316249999999,T,-40.0,2.777099609375,3.6018009004502254,20200607_005
392,66.45151249999999,T,-30.0,5.5999755859375,8.254127063531767,20200607_005
394,66.8298825,T,20.0,28.01513671875,4.252126063031516,20200607_005
396,67.2453125,T,-5.0,10.772705078125,4.102051025512757,20200607_005
398,67.6647625,T,30.0,32.684326171875,3.9519759879939973,20200607_005
400,68.05349249999999,T,-0.0,12.2222900390625,3.9519759879939973,20200607_005
402,68.41466249999999,T,-10.0,6.5765380859375,4.202101050525263,20200607_005
404,68.6189125,T,5.0,15.411376953125,4.4022011005502755,20200607_005
406,68.7033625,T,-20.0,6.16455078125,6.7033516758379195,20200607_005
414,69.2574825,T,40.0,40.008544921875,4.052026013006503,20200607_005
416,69.52805249999999,T,10.0,17.8680419921875,4.352176088044022,20200607_005
418,69.90468249999999,T,-40.0,2.86865234375,3.5517758879439723,20200607_005
420,70.2634525,T,-30.0,3.96728515625,8.0040020010005,20200607_005
422,70.68448249999999,T,20.0,24.444580078125,4.15207603801901,20200607_005
424,71.06517249999999,T,-5.0,10.3607177734375,4.15207603801901,20200607_005
426,71.5058225,T,30.0,30.6243896484375,4.052026013006503,20200607_005
428,71.93185249999999,T,0.0,11.8560791015625,3.851925962981491,20200607_005
430,72.2854225,T,-10.0,7.1258544921875,4.302151075537769,20200607_005
432,72.6695525,T,5.0,17.303466796875,4.452226113056529,20200607_005
434,73.10010249999999,T,-20.0,6.53076171875,6.353176588294147,20200607_005
442,74.50496249999999,T,40.0,43.5791015625,4.202101050525263,20200607_005
444,74.8158725,T,10.0,20.7366943359375,4.4022011005502755,20200607_005
446,75.2892225,T,-40.0,2.655029296875,3.7518759379689848,20200607_005
448,75.64235249999999,T,-30.0,2.99072265625,8.354177088544274,20200607_005
450,75.9798625,T,20.0,29.96826171875,4.252126063031516,20200607_005
452,76.2030925,T,-5.0,10.19287109375,4.252126063031516,20200607_005
454,76.39858249999999,T,30.0,45.7763671875,4.452226113056529,20200607_005
456,76.51539249999999,T,-0.0,10.894775390625,4.00200100050025,20200607_005
458,76.59866249999999,T,-10.0,7.8887939453125,4.752376188094047,20200607_005
460,76.6680725,T,5.0,15.13671875,4.502251125562782,20200607_005
462,76.73558249999999,T,-20.0,6.04248046875,7.5037518759379696,20200607_005
470,77.27702249999999,T,40.0,39.9169921875,4.102051025512757,20200607_005
472,77.57015249999999,T,10.0,18.5089111328125,4.352176088044022,20200607_005
474,77.9261025,T,-40.0,2.655029296875,3.501750875437719,20200607_005
476,78.3558925,T,-30.0,4.7760009765625,7.1035517758879445,20200607_005
478,78.7556625,T,20.0,24.5513916015625,4.202101050525263,20200607_005
480,79.17069249999999,T,-5.0,10.4522705078125,4.102051025512757,20200607_005
482,79.5679225,T,30.0,48.1414794921875,4.352176088044022,20200607_005
484,80.0004125,T,0.0,12.969970703125,4.302151075537769,20200607_005
486,80.3663625,T,-10.0,7.14111328125,4.302151075537769,20200607_005
488,80.84441249999999,T,5.0,19.622802734375,4.552276138069034,20200607_005
490,81.25396249999999,T,-20.0,4.4708251953125,6.103051525762882,20200607_005
498,83.00598249999999,T,40.0,37.3992919921875,3.9519759879939973,20200607_005
500,83.44089249999999,T,10.0,18.1732177734375,4.502251125562782,20200607_005
502,83.8279025,T,-40.0,2.7923583984375,3.6518259129564785,20200607_005
504,84.23159249999999,T,-30.0,3.1280517578125,7.603801900950476,20200607_005
506,84.6376825,T,20.0,24.4293212890625,4.15207603801901,20200607_005
508,85.12477249999999,T,-5.0,10.0860595703125,4.202101050525263,20200607_005
510,85.56136249999999,T,30.0,48.27880859375,4.352176088044022,20200607_005
