,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
183,17.9627575,T,40.0,2.759197324414716,31.4788818359375,3.9632107023411365,22.3846435546875,5.8193979933110365,18.096923828125,,,20200621,20200621_000
185,18.108507499999998,T,0.0,4.31438127090301,32.1807861328125,5.8193979933110365,23.681640625,,,,,20200621,20200621_000
187,18.250497499999998,T,5.0,4.013377926421405,32.1502685546875,5.367892976588628,23.7884521484375,,,,,20200621,20200621_000
189,18.404027499999998,T,30.0,2.959866220735786,32.2113037109375,4.1638795986622075,23.101806640625,6.1705685618729085,18.951416015625,,,20200621,20200621_000
191,18.5544175,T,-30.0,,,,,,,,,20200621,20200621_000
193,18.713447499999997,T,20.0,3.260869565217391,30.9295654296875,4.565217391304348,23.0560302734375,,,,,20200621,20200621_000
195,18.869497499999998,T,-10.0,5.518394648829432,34.0423583984375,7.324414715719063,25.4058837890625,,,,,20200621,20200621_000
18,5.2725025,T,-40.0,,,,,,,,,20200621,20200621_001
19,5.4935525,T,5.0,5.468227424749164,11.9171142578125,,,,,,,20200621,20200621_001
20,5.680462499999999,T,20.0,4.414715719063544,11.2457275390625,6.872909698996655,8.1024169921875,,,,,20200621,20200621_001
21,5.8520924999999995,T,-0.0,6.421404682274247,12.3291015625,,,,,,,20200621,20200621_001
22,6.037322499999999,T,40.0,3.7625418060200664,11.1541748046875,5.317725752508361,7.4310302734375,8.227424749163879,11.7645263671875,,,20200621,20200621_001
23,6.207532499999999,T,-20.0,,,,,,,,,20200621,20200621_001
24,6.347002499999999,T,-10.0,9.481605351170566,12.75634765625,,,,,,,20200621,20200621_001
25,6.5000525,T,10.0,5.117056856187291,11.8560791015625,,,,,,,20200621,20200621_001
26,6.653522499999999,T,30.0,4.063545150501672,10.9710693359375,6.521739130434782,9.7198486328125,,,,,20200621,20200621_001
27,6.815612499999999,T,-30.0,,,,,,,,,20200621,20200621_001
28,6.983662499999999,T,-5.0,7.4749163879598655,12.26806640625,,,,,,,20200621,20200621_001
32,7.7015625,T,-40.0,,,,,,,,,20200621,20200621_001
33,7.891512499999999,T,5.0,5.6187290969899655,12.0086669921875,,,,,,,20200621,20200621_001
34,8.076122499999999,T,20.0,4.5150501672240795,10.986328125,7.324414715719063,10.9405517578125,,,,,20200621,20200621_001
35,8.257092499999999,T,-0.0,6.57190635451505,11.8408203125,,,,,,,20200621,20200621_001
36,8.437362499999999,T,40.0,3.712374581939799,10.3912353515625,5.418060200668896,7.3089599609375,8.42809364548495,11.29150390625,,,20200621,20200621_001
37,8.6313725,T,-20.0,,,,,,,,,20200621,20200621_001
38,8.8118825,T,-10.0,10.735785953177256,11.77978515625,,,,,,,20200621,20200621_001
39,8.9958925,T,10.0,5.217391304347825,11.41357421875,,,,,,,20200621,20200621_001
40,9.1814225,T,30.0,4.063545150501672,10.55908203125,6.321070234113712,10.07080078125,,,,,20200621,20200621_001
41,9.369292499999998,T,-30.0,,,,,,,,,20200621,20200621_001
42,9.5751625,T,-5.0,7.525083612040133,12.39013671875,,,,,,,20200621,20200621_001
46,10.2554825,T,-40.0,,,,,,,,,20200621,20200621_001
47,10.421792499999999,T,5.0,5.668896321070234,10.68115234375,,,,,,,20200621,20200621_001
48,10.6117625,T,20.0,4.5150501672240795,9.613037109375,7.37458193979933,9.5977783203125,,,,,20200621,20200621_001
49,10.792652499999999,T,0.0,6.622073578595318,10.498046875,,,,,,,20200621,20200621_001
50,10.9812625,T,40.0,3.712374581939799,8.758544921875,5.518394648829432,7.14111328125,8.42809364548495,9.7503662109375,,,20200621,20200621_001
51,11.171052499999998,T,-20.0,,,,,,,,,20200621,20200621_001
52,11.369582499999998,T,-10.0,,,,,,,,,20200621,20200621_001
53,11.569492499999999,T,10.0,5.217391304347825,9.0484619140625,,,,,,,20200621,20200621_001
54,11.7563225,T,30.0,4.063545150501672,8.4686279296875,6.220735785953177,8.3465576171875,,,,,20200621,20200621_001
55,11.944752499999998,T,-30.0,,,,,,,,,20200621,20200621_001
56,12.135562499999999,T,-5.0,7.826086956521738,9.796142578125,,,,,,,20200621,20200621_001
60,12.9263625,T,-40.0,,,,,,,,,20200621,20200621_001
61,13.143212499999999,T,5.0,5.568561872909698,9.368896484375,,,,,,,20200621,20200621_001
62,13.349762499999999,T,20.0,4.464882943143812,8.7432861328125,7.37458193979933,9.0484619140625,,,,,20200621,20200621_001
63,13.5539525,T,-0.0,6.471571906354515,9.552001953125,,,,,,,20200621,20200621_001
64,13.756202499999999,T,40.0,3.712374581939799,7.9193115234375,5.668896321070234,7.62939453125,8.578595317725751,8.697509765625,,,20200621,20200621_001
65,13.958712499999999,T,-20.0,,,,,,,,,20200621,20200621_001
66,14.168782499999999,T,-10.0,,,,,,,,,20200621,20200621_001
67,14.364472499999998,T,10.0,5.2675585284280935,8.758544921875,,,,,,,20200621,20200621_001
68,14.613662499999998,T,30.0,4.013377926421405,5.9814453125,6.120401337792642,6.103515625,,,,,20200621,20200621_001
69,14.854272499999999,T,-30.0,,,,,,,,,20200621,20200621_001
70,15.047362499999998,T,-5.0,7.274247491638796,7.1563720703125,,,,,,,20200621,20200621_001
74,15.9219625,T,-40.0,,,,,,,,,20200621,20200621_001
75,16.1208925,T,5.0,5.769230769230768,5.8441162109375,,,,,,,20200621,20200621_001
