,time,code,ampshift,fsl,onset,spkamp,exptname
867,124.84987499999998,T,20.0,3.2421614409606403,2.6617745163442295,38.57421875,20200531_004
871,125.42469499999999,T,-10.0,5.14342895263509,3.722481654436291,38.8641357421875,20200531_004
875,125.987495,T,5.0,3.8425617078052032,3.002001334222815,39.764404296875,20200531_004
879,126.60327499999998,T,-5.0,4.543028685790527,3.62241494329553,39.36767578125,20200531_004
883,127.17877499999999,T,-20.0,6.624416277518345,3.422281521014009,39.7796630859375,20200531_004
887,127.80995499999999,T,40.0,2.8619079386257504,2.321547698465644,38.1317138671875,20200531_004
891,128.472555,T,-40.0,,,0.0,20200531_004
895,129.078395,T,0.0,4.162775183455636,3.2621747831887924,39.5050048828125,20200531_004
909,131.17045499999998,T,10.0,3.582388258839226,2.8619079386257504,39.215087890625,20200531_004
913,131.77175499999998,T,30.0,3.002001334222815,2.361574382921948,38.1622314453125,20200531_004
917,132.383375,T,-30.0,,,0.0,20200531_004
921,133.03267499999998,T,20.0,3.222148098732488,2.6617745163442295,38.3453369140625,20200531_004
925,133.61055499999998,T,-10.0,5.183455637091394,3.722481654436291,38.9251708984375,20200531_004
929,134.127515,T,5.0,3.8025350233488995,3.0620413609072714,39.00146484375,20200531_004
933,134.54645499999998,T,-5.0,4.66310873915944,3.7024683122081385,38.543701171875,20200531_004
937,134.92477499999998,T,-20.0,6.784523015343562,4.543028685790527,38.1622314453125,20200531_004
941,135.26235499999999,T,40.0,2.8619079386257504,2.2615076717811875,37.5823974609375,20200531_004
945,135.62481499999998,T,-40.0,,,0.0,20200531_004
949,136.060455,T,0.0,4.162775183455636,2.5016677785190127,39.337158203125,20200531_004
963,137.72187499999998,T,10.0,3.602401601067378,2.941961307538359,37.994384765625,20200531_004
967,138.20645499999998,T,30.0,3.002001334222815,2.401601067378252,37.1246337890625,20200531_004
971,138.710875,T,-30.0,9.706470980653767,7.745163442294864,2.166748046875,20200531_004
975,139.26035499999998,T,20.0,3.222148098732488,2.681787858572381,37.7349853515625,20200531_004
161,21.078977499999997,T,-20.0,3.8025350233488995,3.362241494329553,20.8587646484375,20200531_005
164,21.4737375,T,30.0,2.5016677785190127,2.0613742494996665,20.3704833984375,20200531_005
167,21.868497499999997,T,-5.0,3.0620413609072714,2.6417611741160774,20.08056640625,20200531_005
170,22.263257499999998,T,0.0,2.941961307538359,2.401601067378252,19.9737548828125,20200531_005
173,22.6580375,T,5.0,2.8218812541694462,2.341561040693796,19.59228515625,20200531_005
175,23.052777499999998,T,-30.0,4.843228819212809,4.38292194796531,19.47021484375,20200531_005
177,23.4475375,T,20.0,2.581721147431621,2.141427618412275,19.22607421875,20200531_005
180,23.842297499999997,T,40.0,2.4416277518345564,2.021347565043362,18.2647705078125,20200531_005
183,24.2370575,T,-10.0,3.2621747831887924,2.741827885256838,18.2952880859375,20200531_005
186,24.6318375,T,-40.0,7.665110073382254,6.444296197464976,17.15087890625,20200531_005
189,25.0265775,T,10.0,2.7218145430286858,2.2214809873248833,17.8375244140625,20200531_005
199,26.4082375,T,-20.0,3.782521681120747,3.362241494329553,18.61572265625,20200531_005
202,26.8030375,T,30.0,2.5016677785190127,2.021347565043362,18.7530517578125,20200531_005
205,27.197777499999997,T,-5.0,3.0620413609072714,2.6017344896597727,18.9208984375,20200531_005
208,27.5925375,T,-0.0,2.941961307538359,2.4816544362908606,19.3023681640625,20200531_005
212,27.987297499999997,T,5.0,2.801867911941294,2.2815210140093396,19.1802978515625,20200531_005
215,28.3820375,T,-30.0,5.0233488992661774,4.342895263509005,19.53125,20200531_005
217,28.7768375,T,20.0,2.6017344896597727,2.0613742494996665,19.5159912109375,20200531_005
219,29.1715575,T,40.0,2.461641094062708,2.021347565043362,19.0582275390625,20200531_005
223,29.566337499999996,T,-10.0,3.222148098732488,2.76184122748499,19.4549560546875,20200531_005
225,29.961097499999997,T,-40.0,6.524349566377585,6.144096064042695,18.218994140625,20200531_005
228,30.3558575,T,10.0,2.741827885256838,2.141427618412275,19.9432373046875,20200531_005
239,31.7375375,T,-20.0,3.8625750500333553,3.3022014676450966,21.0418701171875,20200531_005
242,32.1322775,T,30.0,2.5216811207471648,2.081387591727818,21.05712890625,20200531_005
245,32.5270375,T,-5.0,3.0620413609072714,2.6017344896597727,21.820068359375,20200531_005
248,32.9217975,T,-0.0,2.9219479653102067,2.3815877251500996,22.247314453125,20200531_005
251,33.316557499999995,T,5.0,2.8218812541694462,2.3015343562374913,22.4151611328125,20200531_005
254,33.7113375,T,-30.0,4.6030687124749825,4.142761841227485,22.2320556640625,20200531_005
257,34.1060775,T,20.0,2.6217478318879253,2.1614409606404266,22.8424072265625,20200531_005
260,34.500837499999996,T,40.0,2.4816544362908606,2.021347565043362,23.13232421875,20200531_005
263,34.8956375,T,-10.0,3.2821881254169445,2.8218812541694462,23.651123046875,20200531_005
266,35.2903775,T,-40.0,7.52501667778519,7.0847231487658435,22.979736328125,20200531_005
269,35.685137499999996,T,10.0,2.741827885256838,2.2615076717811875,24.4293212890625,20200531_005
281,37.0667975,T,-20.0,3.822548365577051,3.3022014676450966,25.2227783203125,20200531_005
284,37.4615575,T,30.0,2.541694462975317,2.1014009339559707,24.84130859375,20200531_005
287,37.856337499999995,T,-5.0,3.1020680453635756,2.6017344896597727,24.7039794921875,20200531_005
290,38.251077499999994,T,-0.0,2.961974649766511,2.3815877251500996,25.08544921875,20200531_005
293,38.6458375,T,5.0,2.8418945963975983,2.241494329553035,25.360107421875,20200531_005
296,39.0405975,T,-30.0,4.863242161440961,4.262841894596398,25.7720947265625,20200531_005
299,39.435357499999995,T,20.0,2.6417611741160774,2.1014009339559707,25.1617431640625,20200531_005
302,39.8301375,T,40.0,2.5016677785190127,2.0413609072715144,25.6195068359375,20200531_005
305,40.2248775,T,-10.0,3.2821881254169445,2.8418945963975983,26.0162353515625,20200531_005
308,40.619637499999996,T,-40.0,8.205470313542362,6.7044696464309546,25.3143310546875,20200531_005
311,41.0144375,T,10.0,2.741827885256838,2.241494329553035,26.1688232421875,20200531_005
322,42.3960775,T,-20.0,3.822548365577051,3.2421614409606403,27.5726318359375,20200531_005
