,time,code,ampshift,pspamp,exptname
1048,142.14007249999997,T,-30.0,10.8795166015625,20200719_005
1050,142.4252225,T,10.0,12.420654296875,20200719_005
1052,142.7350325,T,-10.0,11.932373046875,20200719_005
1054,143.01070249999998,T,20.0,13.97705078125,20200719_005
1056,143.2896925,T,-20.0,10.8642578125,20200719_005
1058,143.5760225,T,-40.0,8.97216796875,20200719_005
1060,143.8638325,T,-5.0,12.14599609375,20200719_005
1062,144.14482249999998,T,30.0,13.946533203125,20200719_005
1064,144.43467249999998,T,40.0,13.0462646484375,20200719_005
1066,144.72218249999997,T,0.0,12.6190185546875,20200719_005
1068,145.0250725,T,5.0,13.1072998046875,20200719_005
1076,146.2146125,T,-30.0,10.2691650390625,20200719_005
1078,146.4847825,T,10.0,13.3209228515625,20200719_005
1080,146.76337249999997,T,-10.0,11.505126953125,20200719_005
1082,147.0431825,T,20.0,13.7939453125,20200719_005
1084,147.32859249999998,T,-20.0,10.6353759765625,20200719_005
1086,147.6216825,T,-40.0,9.46044921875,20200719_005
1088,147.8636525,T,-5.0,11.6424560546875,20200719_005
1090,148.1313825,T,30.0,13.5498046875,20200719_005
1092,148.4200325,T,40.0,13.916015625,20200719_005
1094,148.6213225,T,0.0,12.451171875,20200719_005
1096,148.87495249999998,T,5.0,12.39013671875,20200719_005
1104,149.78871249999997,T,-30.0,9.6282958984375,20200719_005
1106,150.0761825,T,10.0,13.6260986328125,20200719_005
1108,150.36691249999998,T,-10.0,11.77978515625,20200719_005
1110,150.62378249999998,T,20.0,13.1683349609375,20200719_005
1112,150.9178725,T,-20.0,10.2691650390625,20200719_005
1114,151.18252249999998,T,-40.0,10.1165771484375,20200719_005
1116,151.4470925,T,-5.0,13.885498046875,20200719_005
1118,151.7267025,T,30.0,13.4124755859375,20200719_005
1120,152.0095725,T,40.0,13.7481689453125,20200719_005
1122,152.1816825,T,0.0,11.7034912109375,20200719_005
1124,152.35141249999998,T,5.0,13.641357421875,20200719_005
1132,153.09881249999998,T,-30.0,9.6435546875,20200719_005
1134,153.3236225,T,10.0,12.75634765625,20200719_005
1136,153.5652725,T,-10.0,12.0391845703125,20200719_005
1138,153.83492249999998,T,20.0,13.916015625,20200719_005
1140,154.09889249999998,T,-20.0,12.0849609375,20200719_005
1142,154.3594225,T,-40.0,9.9945068359375,20200719_005
1144,154.5627925,T,-5.0,11.5203857421875,20200719_005
1146,154.8712425,T,30.0,13.4429931640625,20200719_005
1148,155.15217249999998,T,40.0,13.73291015625,20200719_005
1150,155.4232825,T,0.0,11.749267578125,20200719_005
1152,155.7099925,T,5.0,12.02392578125,20200719_005
1160,156.8178725,T,-30.0,10.5438232421875,20200719_005
1162,157.10240249999998,T,10.0,12.664794921875,20200719_005
1164,157.3760725,T,-10.0,13.1683349609375,20200719_005
1166,157.6566825,T,20.0,13.702392578125,20200719_005
1168,157.9405325,T,-20.0,12.02392578125,20200719_005
1170,158.2116025,T,-40.0,9.490966796875,20200719_005
1172,158.4985725,T,-5.0,12.51220703125,20200719_005
1174,158.6748825,T,30.0,14.312744140625,20200719_005
1176,158.9409725,T,40.0,13.5955810546875,20200719_005
1178,159.1939425,T,0.0,11.8560791015625,20200719_005
1180,159.4371325,T,5.0,12.9241943359375,20200719_005
1188,160.39529249999998,T,-30.0,9.8876953125,20200719_005
1190,160.67338249999997,T,10.0,13.0462646484375,20200719_005
1192,160.94461249999998,T,-10.0,12.176513671875,20200719_005
1194,161.14520249999998,T,20.0,12.9852294921875,20200719_005
1196,161.3971925,T,-20.0,12.969970703125,20200719_005
1198,161.65002249999998,T,-40.0,9.3994140625,20200719_005
1200,161.9106325,T,-5.0,12.8326416015625,20200719_005
1202,162.1874225,T,30.0,13.946533203125,20200719_005
1204,162.4675725,T,40.0,14.1448974609375,20200719_005
1206,162.6838225,T,0.0,12.451171875,20200719_005
1208,162.92527249999998,T,5.0,12.725830078125,20200719_005
1216,163.4339125,T,-30.0,9.8419189453125,20200719_005
1218,163.56444249999998,T,10.0,13.580322265625,20200719_005
1220,163.73841249999998,T,-10.0,12.2528076171875,20200719_005
1222,164.01068249999997,T,20.0,13.9617919921875,20200719_005
1224,164.27817249999998,T,-20.0,11.0626220703125,20200719_005
1226,164.5444225,T,-40.0,6.3018798828125,20200719_005
1228,164.83743249999998,T,-5.0,12.0849609375,20200719_005
1230,165.0915025,T,30.0,14.0228271484375,20200719_005
1232,165.37997249999998,T,40.0,13.580322265625,20200719_005
1234,165.65548249999998,T,-0.0,11.993408203125,20200719_005
