,time,code,ampshift,fsl,onset,spkamp,exptname,animalID
245,34.692924999999995,T,30.0,2.9219479653102067,2.6217478318879253,7.38525390625,20200531_000,20200531
249,35.356064999999994,T,-5.0,4.543028685790527,4.122748498999333,6.927490234375,20200531_000,20200531
253,35.984165,T,5.0,3.822548365577051,3.4823215476984655,6.7138671875,20200531_000,20200531
267,38.399584999999995,T,-20.0,6.404269513008672,5.203468979319545,8.4075927734375,20200531_000,20200531
271,39.020725,T,-40.0,,,0.0,20200531_000,20200531
275,39.53794499999999,T,40.0,2.681787858572381,2.2615076717811875,9.70458984375,20200531_000,20200531
279,40.105225,T,20.0,3.222148098732488,2.76184122748499,10.1776123046875,20200531_000,20200531
283,40.758385,T,-30.0,,,0.0,20200531_000,20200531
287,41.434425,T,10.0,3.8025350233488995,3.222148098732488,10.2081298828125,20200531_000,20200531
291,42.061325,T,-10.0,4.843228819212809,4.322881921280853,10.2386474609375,20200531_000,20200531
295,42.754385,T,0.0,4.362908605737158,3.6824549699799864,9.9945068359375,20200531_000,20200531
299,43.483624999999996,T,30.0,2.901934623082054,2.4816544362908606,11.0321044921875,20200531_000,20200531
303,44.201724999999996,T,-5.0,4.38292194796531,3.9226150767178116,11.6424560546875,20200531_000,20200531
307,44.958324999999995,T,5.0,4.00266844563042,3.3022014676450966,12.2833251953125,20200531_000,20200531
321,47.509204999999994,T,-20.0,5.62374916611074,5.263509006004003,12.908935546875,20200531_000,20200531
325,48.183485,T,-40.0,,,0.0,20200531_000,20200531
329,48.895484999999994,T,40.0,2.7018012008005337,2.241494329553035,12.75634765625,20200531_000,20200531
333,49.56312499999999,T,20.0,3.2421614409606403,2.8218812541694462,13.2293701171875,20200531_000,20200531
337,50.258565,T,-30.0,,,0.0,20200531_000,20200531
341,50.984824999999994,T,10.0,3.8025350233488995,3.2821881254169445,12.603759765625,20200531_000,20200531
345,51.675084999999996,T,-10.0,4.723148765843896,4.342895263509005,11.9171142578125,20200531_000,20200531
349,52.377024999999996,T,0.0,4.102735156771181,3.6624416277518343,11.566162109375,20200531_000,20200531
353,53.06048499999999,T,30.0,2.901934623082054,2.561707805203469,11.6729736328125,20200531_000,20200531
357,53.782785,T,-5.0,4.4229486324216145,4.042695130086724,11.3983154296875,20200531_000,20200531
361,54.43926499999999,T,5.0,3.8825883922615074,3.4823215476984655,11.7340087890625,20200531_000,20200531
375,56.723065,T,-20.0,5.8438959306204135,5.423615743829219,11.1236572265625,20200531_000,20200531
542,83.582625,T,-20.0,5.703802535023349,5.123415610406938,11.71875,20200531_000,20200531
546,84.30874499999999,T,-40.0,,,0.0,20200531_000,20200531
550,85.05356499999999,T,40.0,2.7218145430286858,2.181454302868579,11.8865966796875,20200531_000,20200531
554,85.72264499999999,T,20.0,3.2621747831887924,2.8218812541694462,12.5579833984375,20200531_000,20200531
558,86.46996499999999,T,-30.0,8.145430286857904,7.8652434956637745,10.2996826171875,20200531_000,20200531
562,87.14484499999999,T,10.0,3.7024683122081385,3.202134756504336,12.20703125,20200531_000,20200531
566,87.789345,T,-10.0,4.803202134756504,4.402935290193462,12.5274658203125,20200531_000,20200531
570,88.391365,T,0.0,4.2228152101400935,3.762508338892595,12.481689453125,20200531_000,20200531
574,89.069565,T,30.0,2.901934623082054,2.541694462975317,12.8631591796875,20200531_000,20200531
578,89.81846499999999,T,-5.0,4.623082054703135,3.8825883922615074,12.420654296875,20200531_000,20200531
582,90.46100499999999,T,5.0,3.8425617078052032,1.2808539026017345,13.0157470703125,20200531_000,20200531
596,92.81908499999999,T,-20.0,6.084056037358239,5.103402268178786,11.6119384765625,20200531_000,20200531
600,93.476665,T,-40.0,,,0.0,20200531_000,20200531
604,94.199885,T,40.0,2.7218145430286858,2.361574382921948,12.298583984375,20200531_000,20200531
608,94.80798499999999,T,20.0,3.3022014676450966,2.8218812541694462,12.8936767578125,20200531_000,20200531
612,95.468425,T,-30.0,,,0.0,20200531_000,20200531
616,96.10208499999999,T,10.0,3.6624416277518343,3.162108072048032,11.627197265625,20200531_000,20200531
620,96.794125,T,-10.0,4.863242161440961,4.28285523682455,11.7340087890625,20200531_000,20200531
624,97.46118499999999,T,-0.0,4.122748498999333,3.6824549699799864,11.5966796875,20200531_000,20200531
628,98.13476499999999,T,30.0,2.9219479653102067,2.541694462975317,11.8560791015625,20200531_000,20200531
632,98.83968499999999,T,-5.0,4.563042028018679,4.122748498999333,11.77978515625,20200531_000,20200531
636,99.52352499999999,T,5.0,4.00266844563042,3.422281521014009,11.5509033203125,20200531_000,20200531
650,101.53458499999999,T,-20.0,5.743829219479653,1.2808539026017345,12.7410888671875,20200531_000,20200531
654,102.08354499999999,T,-40.0,,,0.0,20200531_000,20200531
658,102.708445,T,40.0,2.76184122748499,2.2815210140093396,13.153076171875,20200531_000,20200531
662,103.352505,T,20.0,3.3022014676450966,2.8218812541694462,13.275146484375,20200531_000,20200531
666,103.99364499999999,T,-30.0,,,0.0,20200531_000,20200531
670,104.65106499999999,T,10.0,3.5423615743829218,3.0620413609072714,13.427734375,20200531_000,20200531
674,105.28774499999999,T,-10.0,4.763175450300199,4.362908605737158,13.2598876953125,20200531_000,20200531
678,105.960765,T,0.0,4.302868579052701,3.602401601067378,13.0462646484375,20200531_000,20200531
682,106.66592499999999,T,30.0,2.941961307538359,1.2208138759172782,13.8702392578125,20200531_000,20200531
686,107.369525,T,-5.0,4.523015343562375,4.062708472314877,13.3514404296875,20200531_000,20200531
690,108.082045,T,5.0,4.042695130086724,3.422281521014009,13.2904052734375,20200531_000,20200531
704,110.535265,T,-20.0,6.4643095396931285,5.0233488992661774,12.14599609375,20200531_000,20200531
708,111.258405,T,-40.0,,,0.0,20200531_000,20200531
712,111.87992499999999,T,40.0,2.7218145430286858,2.2815210140093396,13.12255859375,20200531_000,20200531
716,112.581425,T,20.0,3.2621747831887924,2.8418945963975983,13.0157470703125,20200531_000,20200531
720,113.335625,T,-30.0,,,0.0,20200531_000,20200531
724,114.00982499999999,T,10.0,3.782521681120747,3.162108072048032,12.9852294921875,20200531_000,20200531
728,114.71204499999999,T,-10.0,5.303535690460307,4.202801867911941,12.1307373046875,20200531_000,20200531
732,115.426025,T,-0.0,4.1827885256837884,3.722481654436291,12.20703125,20200531_000,20200531
736,116.12308499999999,T,30.0,2.961974649766511,2.5216811207471648,12.5274658203125,20200531_000,20200531
740,116.825685,T,-5.0,4.66310873915944,4.062708472314877,11.505126953125,20200531_000,20200531
744,117.598525,T,5.0,3.942628418945964,3.5223482321547697,11.932373046875,20200531_000,20200531
758,120.100265,T,-20.0,5.683789192795197,5.083388925950634,11.6119384765625,20200531_000,20200531
762,120.80726499999999,T,-40.0,,,0.0,20200531_000,20200531
766,121.551065,T,40.0,2.7218145430286858,2.181454302868579,12.0849609375,20200531_000,20200531
770,122.267485,T,20.0,3.3022014676450966,2.8218812541694462,12.786865234375,20200531_000,20200531
774,123.04762499999998,T,-30.0,,,0.0,20200531_000,20200531
778,123.78348499999998,T,10.0,3.6624416277518343,3.14209472981988,12.2528076171875,20200531_000,20200531
782,124.56406499999999,T,-10.0,4.963308872581721,4.342895263509005,11.7950439453125,20200531_000,20200531
786,125.277565,T,0.0,4.00266844563042,3.562374916611074,11.8560791015625,20200531_000,20200531
790,125.97922499999999,T,30.0,2.961974649766511,2.6217478318879253,12.51220703125,20200531_000,20200531
794,126.669125,T,-5.0,4.442961974649767,4.062708472314877,12.4053955078125,20200531_000,20200531
798,127.40872499999999,T,5.0,3.8825883922615074,3.3022014676450966,12.3443603515625,20200531_000,20200531
812,130.00552499999998,T,-20.0,5.483655770513676,5.063375583722481,11.8408203125,20200531_000,20200531
816,130.71704499999998,T,-40.0,,,0.0,20200531_000,20200531
