,time,code,ampshift,peakAmp,peakT,exptname
601,46.48009,T,-20.0,10.6048583984375,13.206603301650826,20200718_000
603,46.58396,T,-40.0,3.692626953125,15.35767883941971,20200718_000
605,46.69309,T,5.0,17.1356201171875,11.405702851425714,20200718_000
607,46.8636,T,-5.0,9.063720703125,12.356178089044523,20200718_000
609,46.971669999999996,T,10.0,22.186279296875,9.204602301150576,20200718_000
611,47.086859999999994,T,40.0,31.55517578125,6.453226613306654,20200718_000
613,47.198969999999996,T,30.0,27.4810791015625,7.8039019509754874,20200718_000
615,47.32062,T,20.0,23.3917236328125,8.354177088544274,20200718_000
617,47.43984999999999,T,-30.0,2.8533935546875,19.559779889944974,20200718_000
619,47.559059999999995,T,-10.0,9.9639892578125,12.506253126563283,20200718_000
621,47.74115,T,0.0,13.4735107421875,13.406703351675839,20200718_000
629,48.25496999999999,T,-20.0,6.591796875,14.757378689344673,20200718_000
631,48.37678,T,-40.0,7.568359375,15.457728864432218,20200718_000
633,48.54779,T,5.0,19.744873046875,11.155577788894448,20200718_000
635,48.72678,T,-5.0,14.7857666015625,14.55727863931966,20200718_000
637,48.85185,T,10.0,23.3917236328125,9.554777388694347,20200718_000
639,49.029799999999994,T,40.0,30.2276611328125,11.105552776388194,20200718_000
641,49.148129999999995,T,30.0,26.397705078125,7.6538269134567285,20200718_000
643,49.270799999999994,T,20.0,23.4527587890625,8.454227113556778,20200718_000
645,49.39165,T,-30.0,4.1656494140625,10.605302651325664,20200718_000
647,49.51398,T,-10.0,8.36181640625,13.656828414207103,20200718_000
649,49.632769999999994,T,0.0,13.916015625,13.956978489244623,20200718_000
657,50.22389,T,-20.0,7.50732421875,11.455727863931967,20200718_000
659,50.34636,T,-40.0,2.3040771484375,18.759379689844923,20200718_000
661,50.53695,T,5.0,20.1568603515625,10.605302651325664,20200718_000
663,50.666799999999995,T,-5.0,10.68115234375,11.65582791395698,20200718_000
665,50.79044999999999,T,10.0,18.9666748046875,10.705352676338169,20200718_000
667,50.905159999999995,T,40.0,31.158447265625,6.453226613306654,20200718_000
669,51.01850999999999,T,30.0,26.67236328125,7.35367683841921,20200718_000
671,51.12846,T,20.0,25.57373046875,8.704352176088044,20200718_000
673,51.23835,T,-30.0,1.2664794921875,21.660830415207606,20200718_000
