,time,code,ampshift,fsl,onset,spkamp,exptname
5,1.9505024999999998,T,-30.0,2.602168473728107,2.2268557130942455,27.3590087890625,20200204_000
7,2.3441025,T,20.0,2.0517097581317767,1.701417848206839,26.7791748046875,20200204_000
9,2.7377024999999997,T,-5.0,2.1517931609674728,1.0258548790658883,26.763916015625,20200204_000
11,3.1313025,T,-10.0,2.176814011676397,1.8265221017514597,26.6265869140625,20200204_000
13,3.5249224999999997,T,-20.0,2.3269391159299415,2.0016680567139282,26.6571044921875,20200204_000
15,3.9185224999999995,T,40.0,2.0517097581317767,1.0258548790658883,27.0843505859375,20200204_000
17,4.312142499999999,T,-40.0,3.35279399499583,2.627189324437031,26.5350341796875,20200204_000
19,4.7057424999999995,T,10.0,,,0.0,20200204_000
21,5.0993625,T,30.0,2.0517097581317767,1.0258548790658883,27.1148681640625,20200204_000
23,5.493002499999999,T,0.0,2.1017514595496247,1.0258548790658883,27.28271484375,20200204_000
25,5.8866024999999995,T,5.0,2.0767306088407005,1.7764804003336112,27.7099609375,20200204_000
32,7.2642025,T,-30.0,2.602168473728107,2.2268557130942455,30.5328369140625,20200204_000
34,7.657822499999999,T,20.0,2.0767306088407005,1.0258548790658883,30.70068359375,20200204_000
36,8.0514225,T,-5.0,2.176814011676397,1.0258548790658883,30.975341796875,20200204_000
38,8.4450425,T,-10.0,2.201834862385321,1.8015012510425354,30.975341796875,20200204_000
40,8.8386625,T,-20.0,2.3269391159299415,1.926605504587156,31.5399169921875,20200204_000
42,9.2322625,T,40.0,2.0517097581317767,1.0258548790658883,31.1431884765625,20200204_000
44,9.625902499999999,T,-40.0,3.302752293577982,2.602168473728107,31.9671630859375,20200204_000
46,10.0195025,T,10.0,2.0767306088407005,1.0258548790658883,32.0892333984375,20200204_000
48,10.413102499999999,T,30.0,2.026688907422852,1.651376146788991,32.3486328125,20200204_000
50,10.806702499999998,T,-0.0,2.126772310258549,1.0258548790658883,32.989501953125,20200204_000
52,11.2003025,T,5.0,2.1017514595496247,1.0258548790658883,33.0963134765625,20200204_000
59,12.577962499999998,T,-30.0,2.627189324437031,2.201834862385321,34.515380859375,20200204_000
61,12.9715625,T,20.0,2.0767306088407005,1.7514595496246872,34.271240234375,20200204_000
63,13.365202499999999,T,-5.0,2.1517931609674728,1.0258548790658883,34.6221923828125,20200204_000
65,13.758802499999998,T,-10.0,2.201834862385321,1.8265221017514597,34.9884033203125,20200204_000
67,14.152402499999999,T,-20.0,2.3269391159299415,1.976647206005004,34.6527099609375,20200204_000
69,14.546002499999998,T,40.0,2.026688907422852,1.0258548790658883,35.4461669921875,20200204_000
71,14.939622499999999,T,-40.0,3.427856547122602,2.702251876563803,35.4461669921875,20200204_000
73,15.333222499999998,T,10.0,2.1017514595496247,1.0258548790658883,35.614013671875,20200204_000
75,15.726842499999998,T,30.0,2.0517097581317767,1.0258548790658883,35.614013671875,20200204_000
77,16.1204625,T,0.0,2.126772310258549,1.0258548790658883,34.881591796875,20200204_000
79,16.514062499999998,T,5.0,2.1017514595496247,1.0258548790658883,33.7371826171875,20200204_000
86,17.891702499999997,T,-30.0,2.627189324437031,2.126772310258549,33.26416015625,20200204_000
88,18.2853225,T,20.0,2.0767306088407005,1.0258548790658883,32.5164794921875,20200204_000
90,18.6789225,T,-5.0,2.176814011676397,1.0258548790658883,32.3028564453125,20200204_000
92,19.072542499999997,T,-10.0,2.2268557130942455,1.9015846538782317,31.982421875,20200204_000
94,19.466142499999997,T,-20.0,2.3519599666388658,1.0258548790658883,31.7840576171875,20200204_000
96,19.8597625,T,40.0,2.0517097581317767,1.0258548790658883,31.4788818359375,20200204_000
98,20.2534025,T,-40.0,3.427856547122602,2.627189324437031,31.25,20200204_000
100,20.6470025,T,10.0,2.0767306088407005,1.0258548790658883,31.4788818359375,20200204_000
102,21.0406025,T,30.0,2.0517097581317767,1.0258548790658883,31.219482421875,20200204_000
104,21.434202499999998,T,0.0,2.126772310258549,1.0258548790658883,30.8380126953125,20200204_000
106,21.827822499999996,T,5.0,2.126772310258549,1.7514595496246872,31.0211181640625,20200204_000
113,23.205502499999998,T,-30.0,2.652210175145955,2.2768974145120935,30.6396484375,20200204_000
115,23.599102499999997,T,20.0,2.0517097581317767,1.0258548790658883,30.670166015625,20200204_000
117,23.992702499999996,T,-5.0,2.1517931609674728,1.0258548790658883,30.8685302734375,20200204_000
119,24.3863225,T,-10.0,2.201834862385321,1.9015846538782317,31.1279296875,20200204_000
121,24.779922499999998,T,-20.0,2.3519599666388658,1.976647206005004,31.005859375,20200204_000
123,25.173542499999996,T,40.0,2.0517097581317767,1.0258548790658883,30.9906005859375,20200204_000
125,25.5671425,T,-40.0,3.427856547122602,1.0258548790658883,31.280517578125,20200204_000
127,25.960802499999996,T,10.0,2.1017514595496247,1.0258548790658883,30.8837890625,20200204_000
129,26.3544025,T,30.0,2.0517097581317767,1.0258548790658883,31.1737060546875,20200204_000
131,26.7480025,T,0.0,2.126772310258549,1.0258548790658883,31.3720703125,20200204_000
133,27.141622499999997,T,5.0,2.126772310258549,1.0258548790658883,31.31103515625,20200204_000
140,28.519262499999996,T,-30.0,2.652210175145955,2.2518765638031693,30.8685302734375,20200204_000
142,28.912902499999998,T,20.0,2.0767306088407005,1.0258548790658883,30.2581787109375,20200204_000
144,29.306502499999997,T,-5.0,2.1517931609674728,1.0258548790658883,30.3802490234375,20200204_000
146,29.700102499999996,T,-10.0,2.201834862385321,1.8765638031693077,30.2734375,20200204_000
148,30.0937225,T,-20.0,2.3769808173477895,1.0258548790658883,30.1666259765625,20200204_000
150,30.487342499999997,T,40.0,2.0517097581317767,1.0258548790658883,30.4412841796875,20200204_000
152,30.8809625,T,-40.0,3.402835696413678,1.0258548790658883,30.548095703125,20200204_000
154,31.274602499999997,T,10.0,2.1017514595496247,1.7764804003336112,29.7088623046875,20200204_000
156,31.668202499999996,T,30.0,2.0517097581317767,1.0258548790658883,29.8004150390625,20200204_000
158,32.0618025,T,-0.0,2.126772310258549,1.0258548790658883,30.059814453125,20200204_000
160,32.4554025,T,5.0,2.126772310258549,1.0258548790658883,30.09033203125,20200204_000
167,33.833102499999995,T,-30.0,2.652210175145955,2.3019182652210173,29.4647216796875,20200204_000
169,34.226702499999995,T,20.0,2.0767306088407005,1.0258548790658883,28.8238525390625,20200204_000
171,34.620302499999994,T,-5.0,2.176814011676397,1.0258548790658883,28.50341796875,20200204_000
173,35.0139225,T,-10.0,2.2268557130942455,1.926605504587156,28.3355712890625,20200204_000
175,35.4075425,T,-20.0,2.3769808173477895,1.0258548790658883,28.1219482421875,20200204_000
177,35.8011425,T,40.0,2.0517097581317767,1.0258548790658883,28.25927734375,20200204_000
179,36.194762499999996,T,-40.0,3.427856547122602,1.0258548790658883,28.5797119140625,20200204_000
181,36.588402499999994,T,10.0,2.1017514595496247,1.0258548790658883,28.350830078125,20200204_000
183,36.9820025,T,30.0,2.0517097581317767,1.0258548790658883,28.167724609375,20200204_000
185,37.3756025,T,-0.0,2.126772310258549,1.0258548790658883,27.64892578125,20200204_000
187,37.7692225,T,5.0,2.126772310258549,1.0258548790658883,28.2135009765625,20200204_000
194,39.146902499999996,T,-30.0,2.652210175145955,1.0258548790658883,29.1290283203125,20200204_000
